Submission ID,Respondent ID,Submitted at,Untitled checkboxes field,Untitled checkboxes field (我同意我的回答做為研究和設計使用),選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,如果你/妳的學校未列出，請在此處寫下：,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2025年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳的MBTI？（選填）
vNJaGA,Bxgxp1,2023-10-24 08:29:05,我同意我的回答做為研究和設計使用,True,狗,輔仁大學 Fu Jen Catholic University (FJU),,學士,廣告系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,1,4,有,4,4,2,2,有,食安問題,5,3,3,3,5,沒有,無,股市基金。年化回報 5-15%,3,4,4,3,3,4,2,2,"夥伴, 朋友, 幫手, 助手, 老師, 導師, 教練",,2,語音,5,3,3,4,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",4,4,自己,4,2,"走路, 摩托車, 捷運",3,沒有,4,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 如何讓我支持的公司更環保, 投資前查看AI摘要的消費者對公司環保的評論, 買東西先尋找有機產品",False,True,True,True,False,True,False,True,False,False,True,False,False,False,,如果免費的話我會用它,4,4,5,5,抵制商品,ENFP
RzbQOK,eapaGx,2023-10-24 08:33:04,我同意我的回答做為研究和設計使用,True,柴犬,輔仁大學 Fu Jen Catholic University (FJU),,學士,日文系,我還在就讀！,我是台灣人啊 🇹🇼！,20.0,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,5,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,1,沒有,3,3,3,1,有,食安問題,4,5,3,5,3,有,不錯,股市基金。年化回報 5-15%,4,5,1,5,1,1,2,3,"助手, 幫手, 教練, 老師, 導師, 夥伴, 朋友",,3,命令,5,5,5,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",3,2,想不到,3,5,"公車, 捷運",1,沒有,1,"買東西先了解哪些產品污染最嚴重，以便避免它們, 老實說我對任何環保資訊都沒有太多興趣",False,False,False,False,False,True,False,False,False,False,False,False,True,False,,老實說我對任何環保資訊都沒有太多興趣,1,1,3,2,提出倡議遊行,INTJ
J2er9J,vPpPD4,2023-10-24 08:33:59,我同意我的回答做為研究和設計使用,True,貓咪,輔仁大學 Fu Jen Catholic University (FJU),,學士,宗教系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,4,4,光泉,4,3,3,2,沒有,,4,5,3,3,2,有,外幣、基金,股市基金。年化回報 5-15%,4,2,2,2,2,2,2,4,"朋友, 老師, 幫手, 夥伴, 助手, 導師, 教練",,5,平常普通朋友聊天,4,4,3,3,"珊瑚礁, 沙漠, 濕地, 熱帶雨林, 草原",2,3,海洋垃圾,4,4,"摩托車, 火車, 公車",0,沒有,2,跟我的AI幫手討論環保問題,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,如果免費的話我會用它,3,3,4,4,不消費,INFP
DVxRKZ,pDMOZb,2023-10-24 08:46:27,我同意我的回答做為研究和設計使用,True,北極熊,輔仁大學 Fu Jen Catholic University (FJU),,學士,影傳,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,5,1,3,無,3,2,2,1,沒有,,5,5,2,2,2,沒有,0,股市基金。年化回報 5-15%,2,2,4,3,3,3,2,2,"助手, 夥伴, 幫手, 老師, 導師, 朋友, 教練",,3,講話,3,3,3,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",2,4,媒體,3,2,機車,2,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先尋找有機產品",True,False,False,False,False,False,False,True,False,False,False,False,False,False,,如果免費的話我會用它,2,2,5,2,網路,不知道
QAz9P1,xJoY95,2023-10-24 08:47:08,我同意我的回答做為研究和設計使用,True,鴕鳥,輔仁大學 Fu Jen Catholic University (FJU),,學士,哲學,我還在就讀！,我是台灣人啊 🇹🇼！,20.0,4,價格：500 台幣 / 公斤。強迫勞工的概率：5%,1,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,2,2,2,無,4,3,2,2,沒有,,4,3,2,2,4,有,存股投資,股市基金。年化回報 5-15%,2,2,4,4,2,4,2,2,"助手, 幫手, 老師, 教練, 導師, 夥伴, 朋友",,2,打字,4,2,2,2,"珊瑚礁, 濕地, 熱帶雨林, 沙漠, 草原",2,2,無,3,3,"捷運, 公車",2,沒有,3,"買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,True,False,True,False,True,True,False,True,True,False,True,False,True,,如果免費的話我會用它,2,2,4,3,連署、遊行,
1rNQkl,eapRzO,2023-10-24 08:48:16,我同意我的回答做為研究和設計使用,True,狗,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,2,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,2,2,不知道,3,1,3,1,沒有,,4,5,3,1,2,沒有,沒有啊,股市基金。年化回報 5-15%,1,3,2,1,2,2,2,2,"幫手, 助手, 夥伴, 教練, 老師, 導師, 朋友",,4,不會溝通,1,4,3,3,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",1,2,我自己,2,2,"捷運, 公車",0,沒有,2,買東西先查看產品的運輸距離（是不是當地食品）,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,如果免費的話我會用它,1,2,4,2,不知道,ENFP
Rzbqx4,5ZQxM6,2023-10-24 08:48:20,我同意我的回答做為研究和設計使用,True,狗,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播學系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,2,無,5,4,3,5,沒有,,5,5,5,4,1,沒有,無,股市基金。年化回報 5-15%,3,3,2,3,2,4,3,2,"導師, 老師, 幫手, 助手, 教練, 夥伴, 朋友",,2,問問題,4,4,4,1,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,4,教育,4,3,捷運,2,沒有,2,"買東西先查看公司工人的員工福利多好, 買東西先查看公司生產過程多環保, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先尋找有機產品, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看公司的環保認證和生態評分, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",True,True,True,False,False,True,True,True,False,True,False,False,False,False,,每月199台幣,2,3,3,4,抵制進入某些公司,ENTP
429lQY,xJoYzy,2023-10-24 08:48:42,我同意我的回答做為研究和設計使用,True,刺蝟,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,2,無,5,3,3,1,沒有,,4,5,5,5,2,沒有,無,政府債券。年化回報 2-3%,1,3,2,4,4,4,1,3,"助手, 幫手, 老師, 導師, 教練, 夥伴, 朋友",,3,聊天,4,5,5,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",1,2,無,3,3,機車,2,沒有,2,"買東西先尋找有機產品, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先查看公司生產過程多環保",False,True,False,False,False,False,False,True,False,False,False,True,False,False,,如果免費的話我會用它,2,2,3,2,改變消費習慣,ENFP
kYJ8bo,kNpEv1,2023-10-24 08:49:00,我同意我的回答做為研究和設計使用,True,貓,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,2,4,沒有,5,3,2,2,沒有,,4,4,2,2,2,沒有,沒有,ESG環保投資基金。年化回報 2-7%,3,3,2,3,4,4,5,3,"助手, 幫手, 夥伴, 導師, 朋友, 老師, 教練",,3,聊天,3,4,4,2,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",3,3,政府,4,3,公車,0,沒有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分",False,True,False,False,False,True,False,True,False,True,False,False,False,False,,每月49台幣,3,2,4,4,不確定,ENFP
KMWrx8,O7gGr8,2023-10-24 08:49:05,我同意我的回答做為研究和設計使用,True,幼鳥,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,5,3,4,無,5,3,3,1,沒有,,2,5,1,1,1,沒有,🈚️,股市基金。年化回報 5-15%,4,4,5,2,2,4,2,1,"助手, 導師, 老師, 幫手, 教練, 朋友, 夥伴",,2,普通,4,4,4,2,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",4,3,目前還沒有,3,3,捷運,4,沒有,1,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,如果免費的話我會用它,3,3,4,4,不知道,
Al4M2z,O7gGV8,2023-10-24 08:49:24,我同意我的回答做為研究和設計使用,True,貓,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播學系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,3,4,大型運動品牌,5,3,3,1,沒有,,3,5,3,5,4,沒有,無,股市基金。年化回報 5-15%,3,5,2,3,4,3,5,3,"幫手, 助手, 夥伴, 導師, 老師, 教練, 朋友",,3,無,2,4,3,3,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",1,4,家人,4,3,走路,0,沒有,3,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,如果免費的話我會用它,3,3,3,4,不知道,ISFJ
kYJ89e,Z2gaey,2023-10-24 08:49:35,我同意我的回答做為研究和設計使用,True,海豚,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,5,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,1,4,沒有,1,1,1,1,沒有,,5,5,5,5,4,沒有,無,股市基金。年化回報 5-15%,2,2,5,1,1,5,4,4,"助手, 幫手, 夥伴, 教練, 導師, 老師, 朋友",,3,對談,5,5,5,5,"沙漠, 珊瑚礁, 熱帶雨林, 濕地, 草原",3,1,我自己,3,3,走路,0,沒有,1,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,如果免費的話我會用它,3,1,5,5,向政府投訴,ENTP
OAbxaY,D7Yzaq,2023-10-24 08:49:42,我同意我的回答做為研究和設計使用,True,兔子,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：72 台幣,2,1,3,沒在買,5,3,3,1,沒有,,4,5,4,4,3,沒有,沒,加密貨幣。高度變動性，每年最高可達 50% 或更多,4,3,3,4,2,3,3,3,"助手, 導師, 幫手, 夥伴, 老師, 教練, 朋友",,3,打字,3,4,4,1,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,4,沒,3,3,捷運,1,有,3,"買東西先尋找有機產品, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 如何讓我支持的公司更環保",False,True,False,False,False,True,False,True,False,False,True,False,False,False,,如果免費的話我會用它,3,3,4,4,不知道,"INFP, ENFP"
lNY8BN,z7OYLa,2023-10-24 08:50:08,我同意我的回答做為研究和設計使用,True,貓咪,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,4,2,3,Net ,3,4,3,2,沒有,,3,4,4,3,3,沒有,沒有投資過,政府債券。年化回報 2-3%,3,3,3,3,2,4,4,3,"幫手, 助手, 導師, 老師, 朋友, 夥伴, 教練",,3,我需要它時我再找它,4,4,4,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,新聞報導,4,3,走路,0,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 投資前查看公司的環保認證和生態評分, 投資前查看AI摘要的消費者對公司環保的評論, 買東西先尋找有機產品, 買東西先了解我吃的動物性食品，動物的生活環境",True,True,False,True,False,True,True,True,False,True,False,True,False,False,,如果免費的話我會用它,3,3,4,4,大學生畢業後會進入公司成為新血,ENFJ
Rzbqdj,MEgRGX,2023-10-24 08:50:15,我同意我的回答做為研究和設計使用,True,變色龍,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,1,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,1,3,無,4,1,2,2,沒有,,5,5,2,4,2,沒有,沒有,加密貨幣。高度變動性，每年最高可達 50% 或更多,5,3,4,1,2,2,2,4,"幫手, 夥伴, 朋友, 導師, 老師, 助手, 教練",,5,像朋友一樣溝通,2,2,5,4,"熱帶雨林, 珊瑚礁, 草原, 沙漠, 濕地",2,2,提倡環保的影片,4,1,"捷運, 走路, 公車",0,沒有,1,"投資前查看AI摘要的消費者對公司環保的評論, 用社交網絡認識其他環保的同學, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題",False,False,False,True,True,False,True,False,True,False,False,False,False,False,,如果免費的話我會用它,1,1,5,5,示威 聯手抵制,
QAzNR7,5ZQxrd,2023-10-24 08:50:41,我同意我的回答做為研究和設計使用,True,倉鼠,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,1,3,沒有,4,3,3,1,有,壓榨員工,3,4,4,4,1,有,不了解詳細的,股市基金。年化回報 5-15%,3,4,3,3,3,3,1,2,"幫手, 助手, 夥伴, 朋友, 導師, 老師, 教練",,3,不是很喜歡ai,5,4,3,4,"珊瑚礁, 沙漠, 草原, 熱帶雨林, 濕地",3,3,政府政策,3,3,走路,0,沒有,3,買東西先了解哪些產品污染最嚴重，以便避免它們,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,3,3,4,4,加入工會,INFP
1rNQW1,LPgpkj,2023-10-24 08:50:43,我同意我的回答做為研究和設計使用,True,狗,輔仁大學 Fu Jen Catholic University (FJU),,學士,影傳,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4,2,2,Som1,2,3,5,2,沒有,,4,5,3,4,2,沒有,無,加密貨幣。高度變動性，每年最高可達 50% 或更多,2,1,4,2,2,4,5,1,"助手, 夥伴, 幫手, 老師, 導師, 教練, 朋友",,4,有問有答，有情感連結,5,3,4,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,4,動物棲息地縮小、動物瀕臨絕種,4,2,"公車, 捷運",0,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題, 如何讓我支持的公司更環保",True,False,True,True,False,True,True,True,True,True,True,True,False,True,,我不懂AI如何幫助我,4,4,4,3,不知道,ENFP
J2eEz4,W8gzdJ,2023-10-24 08:50:48,我同意我的回答做為研究和設計使用,True,鴨子,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播學系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,5,2,4,有,4,3,3,1,有,公司形象不佳,3,4,3,3,2,沒有,沒有,房地產投資信託。年化回報 2-7%,2,4,5,1,2,4,4,2,"助手, 幫手, 教練, 夥伴, 朋友, 導師, 老師",,2,日常對話,4,4,4,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",2,2,環保影片,4,4,"摩托車, 捷運",0,沒有,3,買東西先尋找有機產品,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,如果免費的話我會用它,3,2,3,2,抵制,
9dRAN5,W8gz1j,2023-10-24 08:51:08,我同意我的回答做為研究和設計使用,True,無尾熊,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播學系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,5,5,4,家樂福,5,4,4,2,有,有出食安問題,4,4,2,3,2,沒有,沒投資,股市基金。年化回報 5-15%,3,4,2,2,2,4,2,2,"助手, 幫手, 導師, 老師, 教練, 夥伴, 朋友",,2,Chatgpt,4,5,5,2,"珊瑚礁, 沙漠, 熱帶雨林, 濕地, 草原",2,4,高中開始接觸SDGs 其中第一個接觸的就是climate action故影響重大,4,5,捷運,2,沒有,3,"買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司生產過程多環保",False,True,False,False,False,True,False,False,False,False,False,True,False,False,,如果免費的話我會用它,3,3,4,4,抵制非環保產品,INFJ
jBJ8Z4,RDgPjJ,2023-10-24 08:51:11,我同意我的回答做為研究和設計使用,True,北極熊,輔仁大學,輔仁大學,學士,影像傳播學系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,5,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,2,2,4,義美,4,4,2,1,有,涉及政治因素,3,4,2,2,2,沒有,無,房地產投資信託。年化回報 2-7%,2,4,2,4,2,4,2,3,"幫手, 朋友, 夥伴, 助手, 教練, 導師, 老師",,5,打電話,2,2,2,2,"珊瑚礁, 熱帶雨林, 沙漠, 濕地, 草原",2,2,711,4,2,"走路, 捷運",0,沒有,4,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 投資前查看公司的環保認證和生態評分, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,True,True,False,False,False,True,False,False,True,False,False,False,False,,如果免費的話我會用它,4,4,5,4,消費,INTP
WAKa2v,ExgW6N,2023-10-24 08:51:15,我同意我的回答做為研究和設計使用,True,狐狸,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,3,義美,5,2,2,1,有,有食安問題,3,4,4,2,3,沒有,沒有,房地產投資信託。年化回報 2-7%,3,3,2,3,4,3,4,2,"助手, 朋友, 幫手, 老師, 夥伴, 教練, 導師",,1,偶爾,4,4,4,2,"沙漠, 熱帶雨林, 濕地, 珊瑚礁, 草原",3,2,政府政策,3,3,公車,3,沒有,3,"跟我的AI幫手討論環保問題, 如何讓我支持的公司更環保, 用社交網絡認識其他環保的同學, 投資前查看公司的環保認證和生態評分, 買東西先尋找有機產品, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,False,False,False,True,True,False,True,True,True,True,True,False,False,,每月49台幣,2,3,4,3,不知道,INFP
g5J85d,19xVyO,2023-10-24 08:51:52,我同意我的回答做為研究和設計使用,True,狗,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：700 台幣 / 公斤。強迫勞工的概率：2%,5,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,3,2,2,有,5,2,3,1,有,地溝油,5,2,4,4,3,沒有,無,加密貨幣。高度變動性，每年最高可達 50% 或更多,4,3,3,2,3,3,5,4,"幫手, 助手, 老師, 導師, 朋友, 教練, 夥伴",,1,無,3,5,5,2,"熱帶雨林, 珊瑚礁, 草原, 濕地, 沙漠",3,3,阿嬤,3,2,"公車, 汽車, 捷運",0,沒有,3,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境",False,True,True,False,False,True,False,False,False,False,False,True,False,False,,如果免費的話我會用它,2,2,4,3,拒買,ISFP
9dRAXV,D7YzW5,2023-10-24 08:52:02,我同意我的回答做為研究和設計使用,True,刺蝟,輔仁大學 Fu Jen Catholic University (FJU),,學士,影像傳播學系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,1,4,有,3,2,4,1,沒有,,3,4,3,4,4,沒有,0,股市基金。年化回報 5-15%,3,3,3,2,3,3,1,2,"幫手, 助手, 夥伴, 老師, 導師, 朋友, 教練",,3,問一些簡單但是平常不會問的問題,3,4,3,3,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",3,3,家人,4,2,"捷運, 公車, 腳踏車",1,沒有,3,"買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,False,False,False,False,True,False,True,False,False,False,True,False,False,,每月99台幣,3,2,5,4,投資,ENFP
