Submission ID,Submitted at,選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2023年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳有加入過什麼學生社團嗎？（選填）,你/妳最擔心什麼？（任何問題都可以，選填）,啟發你/妳的是？（什麼都可以，選填）,你/妳的MBTI？（選填）
1rG0Mb,2023-10-23 07:16:56,熊,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4,3,5,無,5,4,4,3,沒有,,4,4,3,4,3,有,尚可,股市基金。年化回報 5-15%,3,3,2,3,4,4,3,3,"助手, 幫手, 老師, 教練, 導師, 夥伴, 朋友",,2,語音或打字,5,4,4,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",4,3,教育,4,3,走路,0,有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 買東西先查看產品的運輸距離（是不是當地食品）",True,False,False,False,False,True,False,True,False,False,False,False,False,False,,如果免費的話我會用它,4,4,4,3,宣導,,,,
6drYOk,2023-10-23 07:17:00,小狗,銘傳大學 Ming Chuan University (MCU),學士,諮商、臨床與工商心理系,我還在就讀！,我是台灣人啊 🇹🇼！,19,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,3,3,NIVEA,4,3,3,5,沒有,,3,5,3,4,2,沒有,無,股市基金。年化回報 5-15%,4,3,3,5,3,4,2,2,"助手, 夥伴, 朋友, 幫手, 導師, 老師, 教練",,3,打字,4,4,3,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3,2,校內老師,3,2,"走路, 公車, 客運, 捷運, 火車",0,有,3,"買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們, 用社交網絡認識其他環保的同學, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 如何讓我支持的公司更環保, 跟我的AI幫手討論環保問題",False,False,False,False,True,True,True,False,True,False,True,True,False,False,,如果免費的話我會用它,3,3,3,3,先有策略再與上級討論,烏克麗麗社,成績問題,無,ISFJ
kYOj7r,2023-10-23 07:17:02,水獺,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,1,3,無,3,3,3,3,沒有,,2,5,3,2,1,沒有,無,ESG環保投資基金。年化回報 2-7%,3,4,4,2,2,2,5,4,"助手, 幫手, 朋友, 夥伴, 老師, 導師, 教練",,4,輸入文字,4,3,4,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,2,無,3,3,摩托車,4,沒有,1,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,True,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,4,3,4,3,DCard公審,,,,不知道
xd9bQk,2023-10-23 07:17:13,狗,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,22,5,價格：300 台幣 / 公斤。強迫勞工的概率：15%,5,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,1,沒有,5,5,3,1,沒有,,3,5,5,1,1,沒有,沒有,加密貨幣。高度變動性，每年最高可達 50% 或更多,1,5,1,5,5,5,3,5,"幫手, 夥伴, 助手, 老師, 朋友, 教練, 導師",,5,恭敬,5,3,1,5,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",5,4,吃飯,5,5,"摩托車, 走路, 腳踏車",0,沒有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 跟我的AI幫手討論環保問題",False,True,False,False,False,True,False,False,True,False,False,False,False,False,,如果免費的話我會用它,3,3,5,5,啥,沒有,找不到好工作,海洋垃圾很多,INTP
GrYEDe,2023-10-23 07:17:20,珊瑚,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,24,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,3,無,2,3,3,1,有,報導指出使用來路不明或過量有害的原料,5,4,3,2,2,沒有,無,房地產投資信託。年化回報 2-7%,3,4,4,1,2,4,3,3,"助手, 幫手, 教練, 夥伴, 朋友, 老師, 導師",,4,像朋友一樣聊天,4,4,4,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",5,2,朋友和媒體,3,3,摩托車,1,沒有,1,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題",True,False,False,False,False,True,True,False,True,True,False,True,False,True,,如果免費的話我會用它,2,2,4,3,抵制與廣泛討論,,,,
jBG4x1,2023-10-23 07:17:26,狗,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治,我還在就讀！,我是台灣人啊 🇹🇼！,21,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,2,5,有,4,3,4,2,沒有,,4,4,4,5,4,有,普通,ESG環保投資基金。年化回報 2-7%,4,3,3,3,2,4,2,4,"幫手, 助手, 老師, 教練, 導師, 夥伴, 朋友",,3,訊息,5,5,5,4,"沙漠, 草原, 熱帶雨林, 濕地, 珊瑚礁",4,4,環保人士,5,4,走路,2,沒有,3,"每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 買東西先尋找有機產品, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看產品的運輸距離（是不是當地食品）",True,False,False,False,False,True,True,True,False,False,False,False,False,False,,如果免費的話我會用它,4,4,4,4,影片響應,,,,
OA8ZvR,2023-10-23 07:17:27,海星,銘傳大學 Ming Chuan University (MCU),學士,都市計畫,我還在就讀！,我是台灣人啊 🇹🇼！,20,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,5,2,4,超市蔬菜（有種植過程,5,3,3,1,有,剝削勞工,3,1,3,3,3,有,沒有特別的感覺,政府債券。年化回報 2-3%,3,3,4,3,4,2,4,3,"助手, 幫手, 朋友, 夥伴, 教練, 導師, 老師",,3,問他天氣如何 就知道該穿多少衣服,5,4,2,4,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",4,3,方便度,3,2,摩托車,2,沒有,3,"每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前比較公司的環保表現",False,False,False,False,False,True,True,False,False,False,False,False,False,True,,如果免費的話我會用它,3,3,4,3,可能我不太關心學校所以不太了解,系學會,睡不飽,我媽,ENTP
24OdrM,2023-10-23 07:17:29,兔子,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,22,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,3,4,2,義美,4,4,5,2,有,味全，他們用地溝油,5,5,3,3,2,沒有,沒有投資經驗,加密貨幣。高度變動性，每年最高可達 50% 或更多,3,4,3,2,4,3,3,3,"幫手, 朋友, 夥伴, 導師, 老師, 助手, 教練",,3,用打字的,5,5,4,3,"珊瑚礁, 濕地, 熱帶雨林, 沙漠, 草原",4,3,新聞媒體,5,4,"走路, 公車, 火車",0,有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",True,False,False,False,False,True,True,False,False,False,False,True,False,False,,每月99台幣,3,4,4,3,透過購物來抵制不良公司,,,,
EP8VDl,2023-10-23 07:17:39,兔子,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,24,1,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4,1,3,小農品牌,4,4,4,5,有,頂新，黑心油，信譽不良,4,5,3,3,2,沒有,無。,股市基金。年化回報 5-15%,3,2,4,2,2,4,1,2,"助手, 幫手, 夥伴, 教練, 老師, 導師, 朋友",,4,網路文字訊息交流,3,3,3,2,"珊瑚礁, 熱帶雨林, 沙漠, 濕地, 草原",2,2,有好看的環保用具時,3,4,走路,1,沒有,2,"買東西先尋找有機產品, 買東西先了解我吃的動物性食品，動物的生活環境",False,False,False,False,False,False,False,True,False,False,False,True,False,False,,如果免費的話我會用它,3,4,5,3,關注議題在網路媒體推播,,工作薪資低,對於物價上漲有感，但薪水夠用但不能存錢,ESFJ
jBG4WQ,2023-10-23 07:18:00,貓,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2,1,2,沒有，只有習慣、常用的,4,3,2,1,沒有,,4,5,3,4,2,沒有,無,股市基金。年化回報 5-15%,3,2,5,2,3,4,2,3,"助手, 幫手, 教練, 夥伴, 老師, 導師, 朋友",,4,對話,5,4,3,2,"珊瑚礁, 草原, 濕地, 熱帶雨林, 沙漠",3,4,氣候異常,4,4,"機車, 走路",0,沒有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題, 投資前查看AI摘要的消費者對公司環保的評論",False,False,False,True,False,True,True,False,True,False,False,False,False,False,,如果免費的話我會用它,3,3,4,4,共同連署,系排,,,
oAlN7b,2023-10-23 07:18:08,老鷹,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,4,1,1,沒有特別關注,4,3,3,1,沒有,,5,5,4,3,2,沒有,無,股市基金。年化回報 5-15%,2,4,4,2,1,4,1,3,"幫手, 助手, 導師, 老師, 教練, 朋友, 夥伴",,2,文字,2,3,2,2,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",3,2,新聞媒體,4,2,"公車, 摩托車",0,沒有,3,"買東西先了解我吃的動物性食品，動物的生活環境, 買東西先查看公司生產過程多環保",False,True,False,False,False,False,False,False,False,False,False,True,False,False,,如果免費的話我會用它,4,3,4,4,行動力,,,,INTJ
eB9OEQ,2023-10-23 07:18:12,菜蟲,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,22,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,3,nope,4,3,2,1,沒有,,4,4,4,3,3,沒有,nope,股市基金。年化回報 5-15%,3,2,4,2,2,4,1,3,"幫手, 助手, 朋友, 夥伴, 導師, 老師, 教練",,3,一般溝通用法,4,4,4,2,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",2,2,火力發電,3,3,機車,0,沒有,2,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,每月49台幣,2,3,4,3,很難,,環境變遷,無,INFP
Ld5x0J,2023-10-23 07:18:37,獅子,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治,我還在就讀！,我是台灣人啊 🇹🇼！,21,1,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,1,3,舞,4,3,2,1,有,食安問題，頂新,5,5,3,4,2,沒有,還在努力研究金融知識，等到有一定的知識儲備量才會行動,政府債券。年化回報 2-3%,2,4,4,2,2,4,3,2,"助手, 幫手, 老師, 導師, 教練, 夥伴, 朋友",,2,詢問問題,4,5,5,4,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",2,2,李奧納多,4,4,"走路, 其他, 客運",0,沒有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,False,False,False,False,True,True,False,False,False,False,True,False,False,,如果免費的話我會用它,4,4,5,3,網路言論的影響性，越多人響應負面的評論則越有機率使公司重視,,,,ISTP
kYOjWr,2023-10-23 07:18:48,龍,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,22,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,5,3,3,沒有,4,4,4,3,有,食安問題,4,5,4,4,3,沒有,沒有,股市基金。年化回報 5-15%,4,3,4,3,3,4,2,3,"助手, 幫手, 導師, 老師, 教練, 夥伴, 朋友",,4,問答,5,4,4,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",2,3,氣候改變,4,4,"走路, 機車",0,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題, 買東西先查看公司生產過程多環保",False,True,False,False,False,True,True,True,True,True,False,False,False,False,,如果免費的話我會用它,3,3,5,4,消費,吉他社、熱音社,經濟問題,親戚,不知道
PA8Q0x,2023-10-23 07:19:06,浣熊,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,1,3,沒有,4,4,4,2,沒有,,5,4,3,5,4,沒有,沒有,股市基金。年化回報 5-15%,3,3,4,3,2,4,3,3,"助手, 幫手, 夥伴, 導師, 老師, 教練, 朋友",,4,一問一答,4,5,4,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",4,3,環境,4,4,"走路, 公車",0,沒有,4,"買東西先了解哪些產品污染最嚴重，以便避免它們, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 買東西先查看產品的運輸距離（是不是當地食品）",True,False,False,False,False,True,True,False,False,False,False,False,False,False,,我不懂AI如何幫助我,4,3,5,3,實習、活動合作選擇有在執行可持續性行為的公司,,,,INFP
OA8q0M,2023-10-23 07:19:38,Cat,銘傳大學 Ming Chuan University (MCU),學士,Criminal justice,我還在就讀！,我是台灣人啊 🇹🇼！,21,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4,2,4,無,5,4,3,1,沒有,,5,3,2,1,2,沒有,無,ESG環保投資基金。年化回報 2-7%,3,2,2,4,4,4,2,3,"助手, 幫手, 夥伴, 老師, 導師, 教練, 朋友",,4,answer question ,4,4,3,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,2,政府宣導,3,4,汽車,0,沒有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們, 跟我的AI幫手討論環保問題",True,False,False,False,False,True,False,False,True,False,False,True,False,False,,每月199台幣,3,2,4,3,I don’t know,Never,My future job,,ISFP
WAlbga,2023-10-23 07:20:33,狗,銘傳大學 Ming Chuan University (MCU),學士,都市規劃與防災學系,我還在就讀！,我是台灣人啊 🇹🇼！,20,4,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4,4,3,沒有,3,2,3,2,沒有,,3,4,3,3,3,沒有,沒有,房地產投資信託。年化回報 2-7%,2,4,4,3,2,4,2,2,"助手, 幫手, 教練, 導師, 老師, 夥伴, 朋友",,2,協助類型,4,4,4,4,"熱帶雨林, 濕地, 珊瑚礁, 沙漠, 草原",3,3,環境,3,3,摩托車,0,有,3,"買東西先查看公司生產過程多環保, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論",False,True,False,True,False,False,False,False,False,False,False,True,False,False,,每月199台幣,3,2,3,3,抗議,沒有,,,ENTP
aBZJrX,2023-10-23 07:20:40,刺蝟,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,22,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,2,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,3,光泉,3,1,1,1,有,頂新地溝油事件後，抵制味全食品,3,5,4,4,1,沒有,無,政府債券。年化回報 2-3%,3,4,4,2,3,4,1,2,"助手, 幫手, 朋友, 夥伴, 老師, 導師, 教練",,1,不用AI,2,4,2,1,"珊瑚礁, 沙漠, 草原, 熱帶雨林, 濕地",1,1,毛邦羽,1,1,走路,0,有,5,"投資前查看AI摘要的消費者對公司環保的評論, 投資前比較公司的環保表現",False,False,False,True,False,False,False,False,False,False,False,False,False,True,,如果免費的話我會用它,1,1,2,1,不懂題目的意思,動漫同好社,人際關係,,INFP
QA89qA,2023-10-23 07:22:29,貓,銘傳大學 Ming Chuan University (MCU),學士,商業設計,我還在就讀！,我是台灣人啊 🇹🇼！,18,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：72 台幣,1,1,5,無印良品,5,3,4,3,沒有,,3,4,5,5,4,沒有,沒有,加密貨幣。高度變動性，每年最高可達 50% 或更多,5,4,3,3,3,3,4,4,"幫手, 助手, 導師, 教練, 老師, 夥伴, 朋友",,3,有意義的溝通,4,4,4,5,"珊瑚礁, 濕地, 熱帶雨林, 沙漠, 草原",4,5,沒有,4,3,"走路, 公車, 火車, 客運",0,沒有,3,"如何讓我支持的公司更環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品",False,False,False,False,False,True,False,True,False,False,True,False,False,False,,如果免費的話我會用它,4,4,4,4,不知道,,,,INFJ
dYQGlV,2023-10-23 07:25:28,蛇,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,2,無,3,2,3,2,有,新聞報道出來,2,3,3,3,2,有,普通，穩定投資,股市基金。年化回報 5-15%,2,3,2,3,3,3,2,2,"夥伴, 幫手, 朋友, 導師, 助手, 教練, 老師",,4,不確定,3,3,3,3,"珊瑚礁, 草原, 熱帶雨林, 濕地, 沙漠",2,2,環保團體或機構以及媒體廣告,3,2,"公車, 捷運",4,沒有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 用社交網絡認識其他環保的同學, 如何讓我支持的公司更環保, 跟我的AI幫手討論環保問題",False,True,False,False,True,True,False,True,True,True,True,False,False,False,,每月199台幣,3,3,4,4,推動網頁,射箭,無,無,INFJ
oAlNoN,2023-10-23 07:25:46,台灣黑熊,銘傳大學 Ming Chuan University (MCU),學士,犯罪防治學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2,1,4,無,4,4,4,2,沒有,,4,4,4,4,3,沒有,無,股市基金。年化回報 5-15%,4,4,3,4,4,4,4,3,"助手, 老師, 朋友, 夥伴, 幫手, 導師, 教練",,4,日常對話,4,4,4,3,"珊瑚礁, 草原, 濕地, 熱帶雨林, 沙漠",4,4,北極熊,4,4,"機車, 走路",0,沒有,4,"買東西先查看公司生產過程多環保, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前比較公司的環保表現, 投資前查看公司的環保認證和生態評分",True,True,False,False,False,False,False,True,False,True,False,True,False,True,,如果免費的話我會用它,3,2,4,2,不購買,,,,ENFJ
DV0OWq,2023-10-23 07:26:45,兔子,銘傳大學 Ming Chuan University (MCU),學士,都市規劃與防災學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,1,價格：700 台幣 / 公斤。強迫勞工的概率：2%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,3,初入牧場,4,3,3,1,沒有,,3,4,5,5,3,沒有,0,股市基金。年化回報 5-15%,3,3,3,3,3,3,4,4,"助手, 幫手, 導師, 老師, 夥伴, 朋友, 教練",,2,不知,5,5,4,3,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",5,5,親友,5,3,機車,0,沒有,3,跟我的AI幫手討論環保問題,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,如果免費的話我會用它,5,5,4,4,不知,0,,,ISFJ
eB9GJl,2023-10-23 07:27:27,倉鼠,銘傳大學 Ming Chuan University (MCU),學士,商品設計學系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,3,無,3,1,2,2,沒有,,4,3,4,3,3,沒有,無,政府債券。年化回報 2-3%,2,3,3,3,4,3,1,3,"幫手, 助手, 夥伴, 朋友, 教練, 老師, 導師",,4,不,4,4,3,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3,3,海龜,4,1,走路,0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品",True,False,False,False,False,True,False,True,False,False,False,False,False,False,,如果免費的話我會用它,3,3,4,3,提案,,,,INFP
