Submission ID,Respondent ID,Submitted at,Untitled checkboxes field,Untitled checkboxes field (我同意我的回答做為研究和設計使用),選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,如果你/妳的學校未列出，請在此處寫下：,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳是哪裡的？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2025年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳有加入過什麼學生社團嗎？（選填）,你/妳最擔心什麼？（任何問題都可以，選填）,啟發你/妳的是？（什麼都可以，選填）,你/妳的MBTI？（選填）,有意見（選填）？
kYvydj,d9VxpN,2023-10-25 04:16:44,我同意我的回答做為研究和設計使用,True,守宮,國立中興大學 National Chung Hsing University (NCHU),,學士,Life Sciences ,我還在就讀！,我是台灣人啊 🇹🇼！,,23.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4.0,1.0,2.0,"Uniqlo,義美",4.0,1.0,4.0,1.0,有,三星、Shein,4.0,5.0,2.0,4.0,2.0,沒有,存款拿利息,股市基金。年化回報 5-15%,4.0,4.0,2.0,4.0,1.0,4.0,4.0,2.0,"助手, 老師, 導師, 幫手, 教練, 夥伴, 朋友",,5.0,問他問題,4.0,5.0,5.0,4.0,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2.0,2.0,系上的生態學課程,4.0,5.0,"火車, 捷運, 公車, 走路",4.0,沒有,2.0,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 用社交網絡認識其他環保的同學, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題",True,False,True,True,True,True,True,False,True,True,False,True,False,True,,如果免費的話我會用它,4.0,4.0,2.0,4.0,研究公司的永續發展對環境的益處，以及長期下來對公司發展的益處進行推測，再公開給大眾，說不定可以得到民眾支持進而獲得募款及知名度（？,,,,"ESFP, ENFP",
OAkzDA,AB5LaN,2023-10-25 04:20:03,我同意我的回答做為研究和設計使用,True,兔子,國立臺灣大學 National Taiwan University (NTU),,碩士,解剖學暨細胞生物學研究所,我還在就讀！,我是台灣人啊 🇹🇼！,,23.0,2.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,3.0,1.0,4.0,義美,4.0,3.0,4.0,2.0,有,中資,5.0,2.0,3.0,3.0,2.0,沒有,活存,股市基金。年化回報 5-15%,3.0,4.0,4.0,3.0,1.0,5.0,2.0,3.0,"幫手, 助手, 教練, 老師, 導師, 夥伴, 朋友",,2.0,講話，打字,4.0,2.0,4.0,4.0,"珊瑚礁, 草原, 熱帶雨林, 濕地, 沙漠",3.0,2.0,大學同學,4.0,4.0,"捷運, 公車, 機車",0.0,沒有,2.0,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前比較公司的環保表現, 投資前查看公司的環保認證和生態評分",True,True,False,False,False,True,False,True,False,True,False,True,False,True,,每月49台幣,4.0,4.0,5.0,5.0,校園周邊商家的合作,棒球隊,AI提供的內容是否可信，是否會受到政治或商業因素影響，我的記錄是否會影響到演算法進一步影響我接收到的資訊,,ENTP,
9dMDL1,1957BO,2023-10-25 04:34:50,我同意我的回答做為研究和設計使用,True,浣熊,國立臺灣大學 National Taiwan University (NTU),,碩士,應用物理所,我還在就讀！,我是台灣人啊 🇹🇼！,,22.0,3.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1.0,1.0,3.0,無,4.0,3.0,4.0,4.0,沒有,,2.0,4.0,3.0,4.0,2.0,沒有,無經驗,房地產投資信託。年化回報 2-7%,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,"助手, 幫手, 老師, 教練, 朋友, 夥伴, 導師",,3.0,一問一答,3.0,4.0,4.0,3.0,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",2.0,3.0,沒有,4.0,4.0,"公車, 走路",1.0,沒有,3.0,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分",False,True,True,True,False,True,False,False,False,True,False,False,False,False,,如果免費的話我會用它,3.0,3.0,4.0,3.0,無想法,無,畢不了業,無,ESFJ,無
PAk05V,a2oBgv,2023-10-25 04:54:41,我同意我的回答做為研究和設計使用,True,狗,國立臺灣大學 National Taiwan University (NTU),,碩士,電機,我還在就讀！,我是台灣人啊 🇹🇼！,,25.0,1.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,5.0,5.0,3.0,沒,5.0,5.0,4.0,1.0,沒有,,3.0,5.0,2.0,4.0,2.0,沒有,沒,股市基金。年化回報 5-15%,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,"助手, 幫手, 教練, 夥伴, 老師, 導師, 朋友",,2.0,不知道,5.0,4.0,3.0,1.0,"熱帶雨林, 珊瑚礁, 濕地, 沙漠, 草原",4.0,2.0,不知道,3.0,4.0,摩托車,0.0,沒有,1.0,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,False,False,False,False,True,False,False,False,False,False,False,False,False,,每月49台幣,3.0,3.0,4.0,4.0,不知道,有,,,,
VZD8N6,eaPBbo,2023-10-25 05:04:14,我同意我的回答做為研究和設計使用,True,貓,國立臺灣大學 National Taiwan University (NTU),,學士,哲學,我還在就讀！,我是台灣人啊 🇹🇼！,,22.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2.0,1.0,3.0,無,4.0,4.0,4.0,2.0,,太剝削勞工,4.0,4.0,4.0,4.0,2.0,,無,股市基金。年化回報 5-15%,4.0,4.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAk0kk,AB5lEN,2023-10-25 05:07:41,我同意我的回答做為研究和設計使用,True,兔子,國立臺灣大學 National Taiwan University (NTU),,學士,社會學系,我還在就讀！,我是台灣人啊 🇹🇼！,,21.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1.0,1.0,4.0,義美,4.0,1.0,1.0,3.0,沒有,,4.0,4.0,4.0,5.0,2.0,沒有,無,政府債券。年化回報 2-3%,1.0,2.0,1.0,2.0,3.0,5.0,4.0,3.0,"助手, 幫手, 教練, 老師, 夥伴, 朋友, 導師",,2.0,跟他分享最近的煩惱,1.0,4.0,2.0,1.0,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",1.0,2.0,廣告,4.0,4.0,"公車, 捷運, 汽車",0.0,沒有,1.0,"買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看公司的環保認證和生態評分, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,False,True,False,False,True,True,False,False,True,False,False,False,False,,如果免費的話我會用它,2.0,3.0,5.0,3.0,減少消費,,戰爭,,INTJ,疫情前我比較注重環保，但疫情後我因為比較常外帶回家而非內用、網路購物等，因此變得不環保了
jBvxKR,JOYRlR,2023-10-25 05:11:39,我同意我的回答做為研究和設計使用,True,蛇,國立臺灣大學 National Taiwan University (NTU),,學士,化學工程學系,我還在就讀！,我是台灣人啊 🇹🇼！,,18.0,4.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,1.0,1.0,4.0,有,4.0,2.0,1.0,1.0,沒有,,4.0,4.0,3.0,5.0,2.0,沒有,沒有,政府債券。年化回報 2-3%,2.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,"幫手, 助手, 夥伴, 老師, 導師, 教練, 朋友",,3.0,能跟人類一樣,4.0,5.0,5.0,3.0,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",2.0,2.0,學校,3.0,2.0,"走路, 腳踏車",2.0,沒有,3.0,"買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司生產過程多環保",False,True,True,False,False,True,False,False,False,False,False,False,False,False,,每月99台幣,4.0,4.0,3.0,5.0,請願,,,,INTP,
dYvP8N,GRyrP2,2023-10-25 05:26:01,我同意我的回答做為研究和設計使用,True,豹,國立臺灣師範大學 National Taiwan Normal University (NTNU),,學士,歷史學系,我還在就讀！,我是台灣人啊 🇹🇼！,,20.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,1.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dM2OQ,l6ZNQ6,2023-10-25 05:28:23,我同意我的回答做為研究和設計使用,True,貓,國立臺灣大學 National Taiwan University (NTU),,學士,化工,我還在就讀！,我是台灣人啊 🇹🇼！,,18.0,2.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1.0,1.0,2.0,無,3.0,2.0,2.0,1.0,沒有,,4.0,5.0,4.0,4.0,3.0,沒有,無,房地產投資信託。年化回報 2-7%,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,"幫手, 助手, 導師, 老師, 教練, 夥伴, 朋友",,2.0,問學科問題,5.0,4.0,4.0,3.0,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",2.0,4.0,懶惰,3.0,4.0,捷運,0.0,沒有,2.0,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,如果免費的話我會用它,4.0,4.0,4.0,5.0,選擇較環保的產品,吉他社,,,ESTJ,
5dMq8b,d9Vlvq,2023-10-25 06:23:46,我同意我的回答做為研究和設計使用,True,兔子,國立臺灣大學 National Taiwan University (NTU),,碩士,光電所,我還在就讀！,我是台灣人啊 🇹🇼！,,22.0,3.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4.0,4.0,2.0,沒有,3.0,2.0,2.0,2.0,有,態度不好,2.0,5.0,5.0,5.0,3.0,沒有,沒有,加密貨幣。高度變動性，每年最高可達 50% 或更多,4.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,"助手, 夥伴, 幫手, 教練, 導師, 老師, 朋友",,4.0,手機,4.0,2.0,3.0,3.0,"熱帶雨林, 濕地, 珊瑚礁, 沙漠, 草原",4.0,3.0,價錢,4.0,2.0,機車,0.0,沒有,3.0,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,如果免費的話我會用它,3.0,3.0,4.0,3.0,無,無,無,無,不知道,沒有
jBv9z1,4KdLEO,2023-10-25 06:40:13,我同意我的回答做為研究和設計使用,True,柴犬,國立臺灣大學 National Taiwan University (NTU),,學士,獸醫學系,我還在就讀！,我是台灣人啊 🇹🇼！,,22.0,1.0,價格：700 台幣 / 公斤。強迫勞工的概率：2%,2.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1.0,1.0,5.0,淨毒五郎,4.0,5.0,5.0,5.0,有,食安問題,5.0,5.0,4.0,2.0,2.0,沒有,無,ESG環保投資基金。年化回報 2-7%,5.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,"助手, 幫手, 夥伴, 導師, 老師, 教練, 朋友",,4.0,打字,5.0,5.0,5.0,5.0,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",5.0,5.0,動物福利,5.0,5.0,"腳踏車, 火車, 捷運",6.0,有,3.0,"買東西先查看公司生產過程多環保, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,True,False,False,False,True,True,True,False,True,False,True,False,True,,如果免費的話我會用它,5.0,5.0,5.0,5.0,消費,田徑隊,動物福利,,不知道,
g5JEqO,Q7XAJ8,2023-10-25 06:51:40,我同意我的回答做為研究和設計使用,True,馬,輔仁大學 Fu Jen Catholic University (FJU),,學士,歷史學系,我還在就讀！,我是台灣人啊 🇹🇼！,,20.0,2.0,價格：700 台幣 / 公斤。強迫勞工的概率：2%,4.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,1.0,1.0,3.0,義美,4.0,2.0,3.0,2.0,有,政治因素,4.0,4.0,4.0,3.0,4.0,有,剛開始投資,股市基金。年化回報 5-15%,2.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,"助手, 幫手, 夥伴, 教練, 老師, 導師, 朋友",,2.0,問問題,4.0,4.0,4.0,3.0,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4.0,4.0,新聞媒體對於生態的報導或是有關自然的紀錄片,4.0,3.0,走路,4.0,沒有,3.0,"買東西先查看公司工人的員工福利多好, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看公司的環保認證和生態評分",False,False,True,False,False,False,False,False,False,True,False,True,False,False,,如果免費的話我會用它,4.0,3.0,4.0,4.0,不知道如何回答,,,,INFP,
247OEp,d9Vjpo,2023-10-25 06:55:09,我同意我的回答做為研究和設計使用,True,浣熊,臺北醫學大學 Taipei Medical University (TMU),,學士,牙醫學系,我還在就讀！,我是台灣人啊 🇹🇼！,,21.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,3.0,2.0,4.0,無,5.0,5.0,4.0,1.0,有,上游廠商製作過程不明確、有疏失（或者故意摻雜不健康的物質,3.0,4.0,2.0,3.0,2.0,有,小額的定期定額培養存錢的習慣,股市基金。年化回報 5-15%,2.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,"助手, 幫手, 夥伴, 朋友, 老師, 教練, 導師",,3.0,方便學習用,3.0,5.0,5.0,3.0,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",3.0,3.0,父母親/老師,4.0,5.0,"捷運, 走路, 公車",6.0,沒有,3.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前比較公司的環保表現, 跟我的AI幫手討論環保問題, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保",True,True,False,True,False,True,True,True,True,True,False,True,False,True,,每月49台幣,3.0,4.0,5.0,4.0,透過對公司的調查研究，推廣此公司的環保活動/分享此公司製程的不環保議題，讓消費者可以更加了解環保的內涵,,,,INFJ,
lNv0oW,ExYDa4,2023-10-25 06:55:27,我同意我的回答做為研究和設計使用,True,貓,國立臺灣大學 National Taiwan University (NTU),,碩士,外文系,我還在就讀！,我是台灣人啊 🇹🇼！,,22.0,3.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,1.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1.0,1.0,1.0,沒有,1.0,1.0,1.0,1.0,沒有,,1.0,1.0,3.0,4.0,1.0,沒有,沒有,政府債券。年化回報 2-3%,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,"助手, 幫手, 夥伴, 朋友, 導師, 老師, 教練",,1.0,能正確回答我的問題,4.0,5.0,2.0,5.0,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3.0,1.0,沒有,1.0,1.0,"捷運, 走路, 腳踏車, 公車",4.0,沒有,1.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司工人的員工福利多好",False,False,True,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,1.0,1.0,5.0,5.0,太環保了很不方便,沒有,沒有,書,,
PAk8pd,975v5p,2023-10-25 06:55:55,我同意我的回答做為研究和設計使用,True,貓,國立臺灣大學 National Taiwan University (NTU),,學士,日本語文學系,我還在就讀！,我是台灣人啊 🇹🇼！,,19.0,2.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1.0,1.0,2.0,有,5.0,3.0,2.0,4.0,有,食安上的疑慮（地溝油）,4.0,5.0,3.0,5.0,4.0,有,有買過股票,政府債券。年化回報 2-3%,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,"朋友, 夥伴, 助手, 幫手, 導師, 老師, 教練",,4.0,像僕人一樣給我建議,2.0,5.0,5.0,1.0,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",1.0,2.0,氣溫的變化，如暖冬,5.0,4.0,"捷運, 公車",0.0,沒有,3.0,"買東西先查看公司工人的員工福利多好, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司生產過程多環保, 買東西先查看產品的運輸距離（是不是當地食品）",True,True,True,False,False,True,False,False,False,False,False,True,False,False,,如果免費的話我會用它,3.0,2.0,4.0,5.0,透過選擇有在這方面努力的公司就職影響公司,攝影社,期中考,,,
OAk8Bg,D7yDjp,2023-10-25 06:57:27,我同意我的回答做為研究和設計使用,True,貓,國立臺灣大學 National Taiwan University (NTU),,學士,物治,我還在就讀！,我是台灣人啊 🇹🇼！,,19.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4.0,2.0,3.0,No,5.0,2.0,3.0,1.0,有,食安,4.0,4.0,2.0,3.0,3.0,有,還可以,股市基金。年化回報 5-15%,2.0,3.0,4.0,2.0,4.0,5.0,2.0,3.0,"助手, 幫手, 老師, 導師, 教練, 夥伴, 朋友",,3.0,當google用,5.0,4.0,4.0,2.0,"珊瑚礁, 沙漠, 草原, 濕地, 熱帶雨林",4.0,3.0,氣溫,4.0,3.0,"捷運, 汽車, 公車",0.0,沒有,3.0,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,True,True,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,3.0,4.0,4.0,3.0,購買/不購買商品,,,,,
Gr5YYZ,PzyYoP,2023-10-25 06:57:54,我同意我的回答做為研究和設計使用,True,兔子,國立臺灣大學 National Taiwan University (NTU),,學士,ㄏㄨㄌㄧㄒㄅ,我還在就讀！,我是台灣人啊 🇹🇼！,,19.0,3.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,,2.0,,Nike,3.0,,3.0,1.0,,,,5.0,3.0,3.0,2.0,有,唸書,加密貨幣。高度變動性，每年最高可達 50% 或更多,3.0,1.0,2.0,2.0,,3.0,3.0,3.0,"老師, 導師, 教練, 助手, 幫手, 夥伴, 朋友",,5.0,打字,,3.0,3.0,3.0,"珊瑚礁, 沙漠, 熱帶雨林, 濕地, 草原",,,北極熊,3.0,,"公車, 摩托車, 走路",0.0,沒有,1.0,"買東西先了解我吃的動物性食品，動物的生活環境, 跟我的AI幫手討論環保問題",False,False,False,False,False,False,False,False,True,False,False,True,False,False,,如果免費的話我會用它,2.0,2.0,3.0,3.0,有良好的態度,熱舞,我怕被當,,,
J2M88o,2K5v2b,2023-10-25 06:58:12,我同意我的回答做為研究和設計使用,True,無尾熊,國立臺灣大學 National Taiwan University (NTU),,學士,護理,我還在就讀！,我是台灣人啊 🇹🇼！,,19.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1.0,1.0,2.0,Adidas ,4.0,2.0,2.0,2.0,沒有,,3.0,4.0,2.0,2.0,3.0,有,讀書,ESG環保投資基金。年化回報 2-7%,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,"老師, 導師, 助手, 幫手, 教練, 夥伴, 朋友",,1.0,打字,2.0,2.0,2.0,2.0,"珊瑚礁, 濕地, 沙漠, 草原, 熱帶雨林",2.0,2.0,北極熊,3.0,2.0,"走路, 腳踏車",0.0,有,4.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前比較公司的環保表現, 用社交網絡認識其他環保的同學",False,False,False,False,True,True,False,False,False,False,False,True,False,True,,每月49台幣,2.0,2.0,4.0,4.0,消費行為,吉他社,不及格,,ISFJ,加油！
42z1gk,pD9WZB,2023-10-25 06:58:44,我同意我的回答做為研究和設計使用,True,Deer,國立臺灣大學 National Taiwan University (NTU),,碩士,外文系,我還在就讀！,我是台灣人啊 🇹🇼！,,22.0,1.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,4.0,2.0,4.0,MUJI,5.0,3.0,5.0,1.0,有,食用油問題,4.0,5.0,2.0,4.0,3.0,沒有,沒有,政府債券。年化回報 2-3%,2.0,4.0,1.0,5.0,1.0,5.0,4.0,2.0,"助手, 幫手, 夥伴, 朋友, 導師, 老師, 教練",,1.0,直接問他明確的問題,2.0,4.0,4.0,5.0,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",5.0,2.0,國家,4.0,3.0,腳踏車,4.0,沒有,1.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品",False,False,False,False,False,True,False,True,False,False,False,True,False,False,,每月99台幣,3.0,2.0,1.0,5.0,消費力,,,,,
XezOAe,975EXV,2023-10-25 06:59:52,我同意我的回答做為研究和設計使用,True,兔子,國立臺灣大學 National Taiwan University (NTU),,學士,國企,我還在就讀！,我是台灣人啊 🇹🇼！,,19.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
