Rank 2022,Company,CKPG,Country,HQ,Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,VOC Productivity Score,NOx Productivity,NOx Productivity Score,SOx Productivity,SOx Productivity Score,PM Productivity,PM Productivity Score,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Clean Revenue Ratio,Clean Revenue Score,Clean Investment Ratio,Clean Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement Contributions / FTE,Fair Value of Plan Assets / FTE,Fair Value / Projected Benefit Obligation,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Fatalities Per Employee Ratio,Fatalities Per Employee Score,Employee Turnover Ratio,Employee Turnover Score,Non-male Boards Ratio,Non-male Boards Score,Non-male Executives Ratio,Non-male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Supplier Score,Fines Deduction,Overall Score
55,Storebrand ASA,Insurance companies,Norway,Lysaker,"$8,174,802,659.00","$9,987,785.48",97%,"$49,484,277.60",100%,"$1,235,424.31",93%,"$61,464,681.65",55%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1%,2%,6%,78%,11%,100%,7,96%,"$14,691.25","$61,612.15",8%,70%,0,100%,0,1,6%,80%,50%,99%,30%,88%,0%,0%,0%,0%,1,1,0.427113,NULL,C+
55,Sun Life Financial Inc,Insurance companies,Canada,Toronto,"$30,627,204,030.00","$29,688.97",9%,"$570,020.55",23%,"$19,067.37",6%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13%,52%,4%,67%,,100%,96,27%,"$4,806.44","$77,960.00",80%,47%,0.01,92%,0,1,7%,70%,30%,70%,36%,94%,30%,93%,9%,68%,1,1,0.493741,NULL,C+
56,Koninklijke Philips NV,Instrumentation and other electronic manufacturing,Netherlands,Amsterdam,"$28,393,895,349.00","$49,726.61",98%,"$132,681.75",57%,"$36,542.98",91%,"$7,998,280.38",74%,"$342,095,124.70",56%,NULL,NULL,NULL,NULL,NULL,NULL,11%,32%,51%,100%,6%,100%,NULL,NULL,NULL,"$24,993.19",95%,NULL,NULL,NULL,0.000012,0.043478261,14%,13%,44%,94%,21%,77%,22%,87%,36%,95%,NULL,1,NULL,NULL,C+
57,Arcelik AS,Appliances and lighting fixtures manufacturing,Turkey,Istanbul,"$20,621,838,042.00","$15,310.09",85%,"$179,883.44",91%,"$18,117.95",92%,"$5,620,560.93",92%,NULL,NULL,"$1,665,738,129.00",50%,"$54,267,994,848.00",75%,NULL,NULL,5%,15%,18%,100%,8%,100%,NULL,NULL,$671.50,NULL,NULL,38%,0.42,60%,0,1,14%,50%,17%,45%,10%,63%,0%,0%,9%,66%,0,1,NULL,NULL,C+
58,Citrix Systems Inc,IT services except telecom and hosting,United States,Fort Lauderdale,"$3,236,700,000.00","$19,907.92",32%,"$151,120.55",32%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10%,50%,61%,50%,NULL,NULL,NULL,NULL,"$1,777.78",NULL,NULL,24%,NULL,NULL,0,1,11%,47%,20%,50%,10%,63%,20%,84%,40%,97%,1,1,0.506773,NULL,C+
59,UniCredit SpA,Banks,Italy,Milan,"$31,450,581,395.00","$27,319.54",32%,"$160,644.92",31%,"$28,030.82",35%,"$7,581,559.05",27%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5%,16%,23%,100%,NULL,NULL,12,92%,"$3,623.02","$89,591.69",69%,46%,0.96,32%,0,1,8%,57%,46%,96%,40%,97%,0%,0%,13%,77%,1,1,NULL,0.05,C+
60,Commerzbank AG,Banks,Germany,Frankfurt am Main,"$11,898,255,814.00","$17,510.39",19%,"$285,748.56",48%,"$47,488.45",57%,"$32,367,398.84",60%,"$74,364,098,837.00",75%,NULL,NULL,NULL,NULL,NULL,NULL,38%,96%,6%,84%,NULL,NULL,21,81%,"$11,686.60",NULL,NULL,71%,1.29,24%,0,1,5%,80%,45%,94%,33%,93%,0%,0%,0%,0%,1,1,NULL,0.05,C+
61,ING Groep NV,Banks,Netherlands,Amsterdam,"$26,212,209,302.00","$95,804.86",68%,"$1,638,263.08",69%,"$71,618.06",65%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26%,87%,5%,74%,NULL,NULL,18,83%,"$8,438.39","$88,925.77",158%,79%,NULL,NULL,0,1,9%,50%,33%,79%,33%,93%,0%,0%,33%,95%,NULL,1,NULL,NULL,C+
62,Quadient SA,Machinery manufacturing,France,Bagneux,"$1,496,220,930.00","$20,590.25",88%,"$124,539.78",77%,"$45,305.71",87%,"$7,507,380.48",77%,"$146,976,515.70",74%,"$66,735,991.54",15%,"$37,405,523,256.00",76%,"$11,509,391,771.00",56%,9%,19%,25%,50%,NULL,NULL,15,89%,$488.09,"$62,285.20",154%,38%,0.62,44%,0,1,10%,43%,33%,79%,25%,84%,42%,97%,50%,99%,1,1,NULL,NULL,C+
63,Henkel AG & Co KgaA,Personal products (retail chemical),Germany,Düsseldorf,"$27,979,651,163.00","$3,798.47",56%,"$52,200.84",60%,"$3,399.30",51%,"$717,426.95",53%,"$68,077,010.13",68%,"$47,423,137.56",48%,"$235,123,119.00",32%,"$96,481,555.73",30%,19%,58%,29%,50%,1%,40%,76,37%,"$2,006.44","$140,819.55",132%,66%,0.12,80%,0.000018,0.206896552,5%,81%,44%,92%,17%,72%,0%,0%,33%,95%,1,1,0.495161,NULL,C+
64,Intel Corp,Semiconductor and electronic components manufacturing,United States,Santa Clara,"$77,867,000,000.00","$6,361.68",67%,"$27,018.39",59%,"$1,491.70",45%,"$1,879,075.27",63%,"$212,171,662.10",36%,"$190,850,490.20",42%,NULL,NULL,NULL,NULL,11%,56%,40%,50%,40%,46%,NULL,NULL,"$5,081.37","$26,021.70",58%,77%,0.7,24%,0,1,4%,87%,33%,79%,24%,80%,33%,95%,29%,93%,1,1,NULL,NULL,C+
66,Prologis Inc,Real estate and leasing,United States,San Francisco,"$4,438,735,000.00","$48,640.26",84%,"$1,155,619.63",94%,"$64,075.94",74%,"$75,092,793.10",93%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2%,51%,3%,67%,27%,78%,137,17%,"$3,110.17","$159,932.91",NULL,46%,0.1,82%,0,1,15%,33%,27%,64%,14%,69%,27%,92%,14%,79%,1,1,0.503288,0.01,C+
67,Sanofi SA,Pharmaceutical & biotech,France,Paris,"$54,315,406,977.00","$4,011.22",50%,"$70,430.28",59%,"$1,621.36",21%,"$730,595.70",37%,"$18,774,769.09",18%,"$110,622,010.10",34%,"$308,610,266.90",27%,NULL,NULL,20%,78%,27%,71%,9%,75%,23,79%,"$7,164.22","$136,821.96",107%,68%,1.7,16%,0,1,8%,70%,44%,92%,27%,86%,0%,0%,0%,0%,1,1,NULL,0.05,C+
68,Analog Devices Inc,Semiconductor and electronic components manufacturing,United States,Wilmington,"$5,603,056,000.00","$4,995.62",53%,"$39,844.52",64%,"$2,505.93",55%,"$3,371,273.17",68%,"$145,836,959.90",30%,"$350,191,000.00",61%,"$37,353,706,667.00",86%,"$5,047,798,198.00",100%,15%,73%,43%,61%,21%,31%,134,17%,"$5,427.67","$6,761.32",58%,72%,0.12,58%,0,1,4%,87%,27%,64%,20%,77%,18%,82%,10%,71%,1,0,0.492422,NULL,C+
69,Kesko Oyj,Grocery stores,Finland,Helsinki,"$15,507,558,140.00","$12,207.60",94%,"$174,218.74",83%,"$15,459.85",83%,"$13,153,145.16",97%,NULL,NULL,"$60,576,398.98",50%,"$74,163,357.91",23%,NULL,NULL,9%,28%,5%,67%,4%,50%,70,40%,"$6,390.41","$31,622.64",190%,89%,1.84,69%,0,1,16%,63%,29%,66%,33%,93%,0%,0%,0%,0%,1,1,0.502101,0.01,C+
70,Nordea Bank Abp,Banks,Finland,Helsinki,"$13,609,011,628.00","$107,943.26",72%,"$2,178,138.87",78%,"$123,304.66",70%,"$20,042,726.99",50%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19%,71%,6%,79%,,33%,25,76%,"$1,893.72","$189,128.11",137%,39%,NULL,NULL,0,1,7%,65%,43%,92%,36%,94%,0%,0%,0%,0%,1,1,0.515099,0.025,C+
71,National Australia Bank Ltd,Banks,Australia,Melbourne,"$11,725,000,000.00","$18,161.09",21%,"$132,497.85",20%,"$38,739.84",40%,"$8,078,073.11",29%,NULL,NULL,"$51,880,530.97",16%,NULL,NULL,NULL,NULL,14%,54%,5%,68%,,67%,17,85%,"$6,138.20",NULL,NULL,58%,0.07,78%,0,1,12%,34%,40%,89%,36%,94%,10%,67%,0%,0%,1,1,NULL,NULL,C+
72,StarHub Ltd,Telecom providers,Singapore,Singapore,"$2,423,894,863.00","$5,092.00",53%,"$41,753.86",54%,"$251,180.81",97%,"$137,721,299.00",84%,"$2,693,216,514.00",88%,"$1,182,387,738.00",60%,"$24,238,948,626.00",71%,"$16,159,299,084.00",69%,10%,72%,4%,50%,,13%,13,92%,"$21,365.58",NULL,NULL,75%,0.12,78%,0,1,29%,5%,25%,61%,18%,73%,58%,99%,45%,98%,1,1,0.499231,0.01,C+
73,Industria de Diseno Textil SA,"Retail, except grocery and auto",Spain,Corunna,"$29,654,069,767.00","$28,167.48",83%,"$61,079.95",37%,"$17,831.25",49%,"$18,449,043.31",84%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16%,52%,34%,80%,67%,100%,225,9%,$229.02,NULL,NULL,15%,3.65,23%,0,1,32%,25%,36%,83%,24%,80%,0%,0%,0%,0%,1,1,NULL,NULL,C+
74,Teck Resources Ltd,Metal and coal mining,Canada,Vancouver,"$7,513,014,274.00",$263.86,41%,"$2,686.10",46%,$63.52,22%,"$129,595.06",36%,NULL,NULL,NULL,NULL,"$1,970,885.17",23%,NULL,NULL,14%,69%,7%,100%,60%,100%,86,31%,"$4,016.60","$225,893.72",92%,76%,0.29,54%,0.000038,0.383333333,10%,36%,25%,61%,11%,63%,33%,95%,5%,61%,1,1,0.60568,0.025,C
75,CapitaLand Investment Ltd,Commercial building construction,Singapore,Singapore,"$7,804,745,520.00","$1,588.57",14%,"$12,348.97",17%,$669.30,19%,"$79,190.97",35%,NULL,NULL,"$216,798,486.70",78%,NULL,NULL,NULL,NULL,14%,31%,37%,67%,41%,67%,58,46%,"$5,968.66",NULL,NULL,66%,1.8,18%,0.000406,0,13%,18%,9%,35%,25%,84%,18%,82%,8%,66%,1,1,NULL,0.025,C
76,BNP Paribas SA,Banks,France,Paris,"$64,353,197,674.00","$20,239.62",30%,"$227,499.36",41%,"$21,041.03",21%,"$4,398,714.81",17%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20%,74%,17%,89%,NULL,NULL,43,59%,"$6,556.22","$44,134.19",90%,60%,0.41,46%,0.00001,0.090909091,9%,50%,43%,92%,17%,72%,0%,0%,0%,0%,1,1,0.520761,0.05,C
77,Puma SE,Textiles and clothing manufacturing,Germany,Herzogenaurach,"$7,608,139,535.00","$31,304.11",85%,"$223,650.41",59%,"$78,784.49",88%,"$326,680.46",27%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18%,57%,37%,100%,NULL,NULL,NULL,NULL,"$2,775.20","$8,207.70",96%,72%,NULL,NULL,0,1,30%,28%,33%,79%,25%,84%,17%,80%,0%,0%,NULL,1,NULL,NULL,C
78,Unilever PLC,Personal products (retail chemical),United Kingdom,London (U.K.),"$73,726,744,186.00","$6,508.74",85%,"$94,682.06",61%,"$2,498.70",50%,"$3,161,795.36",65%,NULL,NULL,"$39,489,418.42",56%,NULL,NULL,NULL,NULL,22%,79%,25%,33%,35%,80%,149,14%,"$1,765.13","$230,465.97",144%,66%,0.14,70%,0.00002,0.172413793,5%,81%,42%,91%,31%,89%,42%,97%,31%,94%,1,1,NULL,NULL,C
79,Gildan Activewear Inc,Textiles and clothing manufacturing,Canada,Montreal,"$1,981,276,000.00",$598.37,11%,"$6,859.35",11%,$15.71,4%,"$304,109.90",19%,NULL,NULL,"$10,767,804.35",38%,"$5,759,523.26",34%,NULL,NULL,2%,1%,36%,75%,,25%,903,1%,$81.78,NULL,NULL,4%,0.66,60%,0,1,27%,39%,30%,70%,0%,0%,10%,67%,20%,87%,1,1,NULL,0.01,C
80,Bank of Montreal,Banks,Canada,Montreal,"$21,146,935,348.00","$35,541.07",49%,"$224,294.51",42%,"$49,694.24",61%,"$43,782,474.84",77%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20%,73%,4%,58%,NULL,NULL,51,52%,"$5,731.80","$194,881.04",81%,68%,NULL,NULL,0,1,9%,50%,50%,99%,36%,94%,8%,58%,9%,68%,1,1,NULL,NULL,C
81,Cogeco Communications Inc,Telecom providers,Canada,Montreal,"$2,001,916,877.00","$3,343.04",42%,"$86,964.24",86%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7%,54%,10%,67%,11%,63%,47,56%,$612.18,"$11,843.97",73%,13%,0.59,41%,0,1,13%,30%,50%,99%,22%,79%,0%,0%,22%,89%,1,1,0.459328,0.01,C
82,Adidas AG,Textiles and clothing manufacturing,Germany,Herzogenaurach,"$28,843,023,256.00","$41,273.79",70%,"$4,711,618.91",75%,"$90,664.27",80%,"$17,158,150.91",70%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19%,65%,36%,50%,18%,75%,164,12%,"$1,806.70","$11,181.99",91%,57%,0.54,70%,0,1,39%,6%,38%,86%,17%,72%,19%,82%,17%,82%,NULL,0,NULL,NULL,C
83,Coloplast A/S,Medical equipment manufacturing,Denmark,Humlebæk,"$2,741,167,775.00","$14,213.26",92%,"$69,047.05",72%,"$11,021.59",65%,"$309,561.58",23%,"$9,137,225.92",29%,NULL,NULL,NULL,NULL,NULL,NULL,14%,71%,28%,100%,NULL,NULL,46,56%,$573.22,"$2,222.94",5%,13%,2.5,5%,0,1,13%,69%,22%,54%,17%,72%,0%,0%,0%,0%,1,0,NULL,NULL,C
84,BT Group PLC,Personal and business services,United Kingdom,London (U.K.),"$29,971,949,509.00","$38,904.40",79%,"$174,576.25",57%,"$21,085.34",38%,"$81,224,795.42",77%,"$3,746,493,689.00",71%,"$86,875,215.97",40%,NULL,NULL,"$9,990,649,836.00",59%,5%,12%,25%,38%,,36%,49,53%,"$13,673.56","$768,251.46",128%,98%,0.23,68%,0.00001,0.240506329,12%,65%,42%,91%,38%,95%,17%,80%,8%,64%,1,1,NULL,0.05,C-
86,Agnico Eagle Mines Ltd,Metal and coal mining,Canada,Toronto,"$3,138,113,000.00",$409.61,57%,"$5,427.79",74%,$125.06,38%,"$616,888.74",59%,NULL,NULL,"$243,283.43",10%,"$3,713,743.20",38%,NULL,NULL,10%,49%,1%,71%,3%,57%,98,26%,"$3,072.92",$480.56,6%,47%,0.69,32%,0,1,8%,53%,30%,70%,9%,61%,10%,67%,9%,66%,1,1,0.593668,0.01,C-
87,Lenovo Group Ltd,Computers and peripherals manufacturing,Hong Kong SAR,Quarry Bay,"$60,742,312,000.00","$195,021.94",89%,"$328,430.91",80%,"$42,536.63",72%,"$11,064,173.41",42%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19%,80%,15%,43%,1%,40%,264,8%,"$8,305.87","$8,541.77",51%,86%,0.03,75%,0,1,8%,56%,10%,36%,17%,72%,40%,97%,56%,99%,1,1,0.413468,NULL,C-
88,Natura & Co Holding SA,Personal products (retail chemical),Brazil,São Paulo,"$15,631,659,610.00","$420,585.79",81%,"$345,182.37",77%,"$19,975.67",76%,"$8,083,599.02",69%,"$45,975,469,443.00",75%,"$4,354,222,733.00",100%,"$142,000,000,000.00",99%,"$1,257,575,190.00",62%,10%,13%,30%,67%,,20%,NULL,NULL,NULL,NULL,NULL,NULL,0.12,80%,0,1,14%,30%,25%,61%,42%,97%,8%,58%,0%,0%,1,1,0.459646,0.05,C-
89,Campbell Soup Co,Food and beverage manufacturing,United States,Camden (U.S.),"$8,476,000,000.00",$771.98,18%,"$11,736.36",29%,$398.89,34%,"$62,480.19",15%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14%,44%,19%,64%,NULL,NULL,NULL,NULL,"$3,586.21","$146,206.90",82%,76%,0.24,83%,0,1,24%,17%,31%,71%,30%,88%,15%,76%,20%,87%,0,1,0.409532,NULL,C-
90,Intesa Sanpaolo SpA,Banks,Italy,Turin,"$27,649,709,302.00","$25,965.51",35%,"$371,391.28",64%,"$14,754.38",11%,"$126,254,380.40",82%,NULL,NULL,"$453,273,923.00",32%,"$1,202,161,274.00",20%,NULL,NULL,26%,86%,4%,63%,NULL,NULL,57,46%,"$4,643.07","$23,035.71",119%,52%,NULL,NULL,0,1,6%,75%,37%,83%,6%,60%,0%,0%,0%,0%,1,1,NULL,0.05,C-
91,AstraZeneca PLC,Pharmaceutical & biotech,United Kingdom,Cambridge (U.K.),"$26,617,000,000.00","$8,254.74",82%,"$60,939.98",58%,"$7,737.50",77%,"$1,469,253.70",44%,"$133,753,768.80",53%,NULL,NULL,NULL,NULL,NULL,NULL,11%,35%,4%,43%,4%,50%,143,17%,"$5,716.16","$140,183.97",77%,57%,0.13,72%,0,1,10%,54%,36%,80%,33%,93%,14%,76%,17%,82%,1,1,0.416649,0.025,C-
92,KBC Groep NV,Banks,Belgium,Brussels,"$10,457,848,837.00","$24,593.34",32%,"$283,045.42",55%,"$32,673.94",35%,"$4,521,335.43",18%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9%,34%,3%,53%,NULL,NULL,35,67%,"$7,793.03","$11,085,796.36",122%,85%,1,30%,0,1,12%,34%,38%,86%,14%,69%,0%,0%,0%,0%,1,1,0.391739,NULL,C-
93,Allianz SE,Insurance companies,Germany,Munich,"$164,000,000,000.00","$129,304.40",43%,"$780,939.59",37%,"$103,163.99",31%,"$20,896,512.45",36%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22%,75%,2%,44%,NULL,NULL,76,37%,"$32,607.16","$156,018.66",71%,80%,NULL,NULL,0,1,13%,23%,33%,79%,30%,88%,0%,0%,0%,0%,1,1,NULL,NULL,C-
94,Aster DM Healthcare Ltd,Health care,United Arab Emirates,Dubai,"$3,912,744,875.00","$9,234.60",60%,"$47,409.40",47%,"$4,605.54",58%,"$97,259,380.44",75%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7%,35%,0%,100%,3%,100%,82,32%,$92.33,$92.84,0%,11%,NULL,NULL,0,1,30%,0%,25%,61%,0%,0%,33%,95%,0%,0%,1,0,NULL,NULL,D+
95,Telefonaktiebolaget LM Ericsson,Telephones and telecom equip manufacturing,Sweden,Stockholm,"$26,369,000,340.00","$30,776.14",86%,"$231,307.02",86%,"$17,579.33",64%,"$7,436,266.31",59%,NULL,NULL,"$39,356,716.93",19%,"$34,245,454.99",10%,"$329,612,504.30",25%,29%,92%,41%,25%,50%,100%,93,29%,"$5,585.43","$82,842.85",8%,84%,NULL,NULL,0.000069,0,8%,58%,30%,70%,20%,77%,0%,0%,7%,63%,1,0,0.413192,0.05,D+
96,Pearson PLC,IT services except telecom and hosting,United Kingdom,London (U.K.),"$4,764,375,877.00","$36,457.50",55%,"$112,771.63",27%,"$11,316.32",19%,"$12,738,972.93",56%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6%,34%,21%,17%,NULL,NULL,14,91%,"$3,747.08","$227,519.92",156%,71%,0.72,47%,0,1,26%,7%,50%,99%,30%,88%,10%,67%,10%,71%,NULL,1,NULL,NULL,D+
97,Biogen Inc,Pharmaceutical & biotech,United States,Cambridge (U.S.),"$13,445,000,000.00","$12,277.63",78%,"$232,870.31",79%,"$10,636.87",79%,"$5,360,845.30",77%,"$14,938,888,889.00",81%,"$679,040,404.00",71%,"$4,636,206,897.00",59%,NULL,NULL,16%,57%,1%,14%,8%,63%,120,20%,"$17,341.17","$18,494.34",112%,76%,0.06,84%,0,1,9%,65%,23%,56%,53%,99%,8%,55%,33%,95%,1,1,0.390517,0.05,D+
98,Canadian Tire Corporation Ltd,"Retail, except grocery and auto",Canada,Toronto,"$12,486,146,096.00","$1,338.90",12%,"$143,278.48",78%,$242.73,8%,"$1,602,637.16",51%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14%,42%,2%,20%,NULL,NULL,82,32%,NULL,NULL,NULL,NULL,0.99,63%,0,1,8%,86%,25%,61%,25%,84%,0%,0%,13%,76%,0,1,NULL,NULL,D
99,LG Electronics Inc,Appliances and lighting fixtures manufacturing,South Korea,Seoul,"$75,829,314,046.00","$9,151.50",50%,"$50,418.43",25%,"$6,219.09",58%,"$3,422,827.21",66%,"$167,578,594.60",38%,"$1,285,242,611.00",38%,"$22,302,739,425.00",56%,"$1,648,463,349.00",100%,13%,35%,2%,50%,8%,50%,32,71%,$7.78,"$57,375.33",0%,23%,0.75,20%,0,1,23%,17%,14%,42%,0%,0%,0%,0%,0%,0%,1,1,0.335541,0.01,D
100,Byd Co Ltd,"Cars and trucks manufacturing, including parts",China,Shenzhen,"$36,924,709,031.00","$2,013.28",34%,"$8,907.87",7%,"$1,255.73",9%,NULL,NULL,"$423,885,995.10",62%,"$1,090,833,354.00",89%,NULL,NULL,NULL,NULL,7%,12%,14%,78%,NULL,NULL,54,48%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20%,50%,17%,72%,0%,0%,0%,0%,NULL,0,NULL,NULL,D-
