Rank 2021,Company,Peer Group (CKIG),Peer Group Rank,Country,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,NOx Productivity,SOx Productivity,PM  Productivity,VOC Productivity Score,NOx Productivity Score,SOx Productivity Score,PM  Productivity Score,% Taxes Paid,% Taxes Paid Score,% Clean Revenues,Clean Revenue Score,% Clean Investment,Clean Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement contributions/FTE,Retirement contributions/FTE  Score,Fair value of plan assets/FTE,Fair value of plan assets/FTE  Score,Fair value/projected benefit obligation Percent,Fair value/projected benefit obligation  Score,Pension Fund Status,Lost-time Injury Rate,Lost-time Injury Rate  Score,Fatalities per FTE employee,Fatalities per FTE employee Score,Employee Turnover Rate,Employee Turnover Score,% Non-male on Board,% Non-male on Board  Score,% Non-male Senior Executives,% Non-male Senior Executives  Score,% Racial Diversity Among Boards,% Racial Diversity Among Board Score,% Racial Diversity Among Executives,% Racial Diversity Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Supplier Score,Fines deduction,Overall Score,,Energy Productivity - Weight,Carbon Productivity - Weight,Water Productivity - Weight,Waste Productivity - Weight,Injuries - Weight,Fatalities - Weight,Employee turnover - Weight,VOC Productivity - Weight,NOX Productivity - Weight,SOX Productivity - Weight,PM Productivity - Weight,Pension Fund Status - Weight,Cash taxes paid ratio - Weight,CEO-Average Worker Pay ratio - Weight,Clean Revenue - Weight,Clean Investment - Weight,Non-male on Board - Weight,Non-male in Executive Management - Weight,Racial Diversity Among Executives - Weight,Racial Diversity on Board of Directors - Weight,Paid Sick Leave,Sustainability Paylink - Weight,Supplier Score - Weight
35,BT Group PLC,Telecommunications,#1/155,UK,"$33,002",96.90%,"$137,933",28.40%,"$15,054",12.30%,"$22,946,062",60.50%,"$2,580,549,459","$56,381,753",No Data,"$4,792,448,995",50.00%,1.40%,0.00%,46.90%,5.20%,39.00%,24.10%,100.00%,1.10%,42.80%,74:1,35.00%,"$17,774",95.70%,"$724,944",92.30%,97.60%,88.10%,91.90%,1.1,47.40%,-,100.00%,11.20%,59.20%,38.50%,88.30%,50.00%,96.30%,7.70%,52.60%,0.00%,0.00%,100.00%,100.00%,0.00%,5.00%,71.00%,,3%,4%,1%,0%,2%,3%,3%,4%,2%,1%,0%,5%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
36,Novozymes A/S,Pharmaceuticals and Biotechnology,#3/417,Denmark,$673,8.40%,"$6,532",3.40%,$275,3.10%,"$336,796",28.60%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,17.70%,66.90%,89.00%,100.00%,11.20%,82.30%,23:1,55.90%,"$7,149",67.30%,No Data,0.00%,No Data,0.00%,50.50%,0.9,38.80%,-,100.00%,12.70%,38.10%,30.00%,68.80%,42.90%,95.20%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,82.70%,1.00%,70.00%,,2%,2%,5%,2%,2%,1%,3%,2%,1%,1%,0%,4%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
37,ING Groep NV,Banks and Investment Services,#3/935,Netherlands,"$100,745",85.00%,"$1,450,723",39.50%,"$55,127",62.00%,No Data,0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,21.00%,70.30%,3.40%,87.80%,3.40%,96.90%,No Data,0.00%,"$9,443",79.60%,"$87,849",46.40%,104.40%,75.40%,65.20%,No Data,0.00%,No Data,0.00%,12.40%,38.00%,33.30%,80.90%,0.00%,0.00%,0.00%,0.00%,50.00%,98.10%,100.00%,100.00%,0.00%,0.00%,69.60%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
38,Johnson Controls International PLC,Industrial Machinery Manufacturing,#2/165,Ireland,"$2,931",26.30%,"$25,074",11.60%,"$6,261",38.50%,"$1,855,539",79.70%,"$4,793,600,000","$121,664,975","$2,937,254,902","$1,162,366,634",92.50%,37.10%,48.80%,100.00%,29.40%,98.00%,48.80%,80.40%,40.30%,100.00%,250:1,15.80%,"$3,077",67.60%,"$48,048",70.00%,84.10%,70.00%,60.70%,0.15,100.00%,0.00000962,37.50%,24.00%,4.40%,25.00%,52.90%,19.30%,47.40%,50.00%,99.20%,7.10%,63.70%,0.00%,100.00%,0.00%,2.50%,69.40%,,2%,2%,2%,2%,2%,1%,2%,3%,1%,2%,5%,2%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
39,Alstom SA,Construction Machinery & Industrial Vehicles,#1/110,France,"$7,894",79.60%,"$93,663",23.60%,"$15,061",55.20%,"$2,667,751",71.50%,"$91,518,108",No Data,No Data,No Data,92.90%,0.00%,0.00%,0.00%,18.30%,78.30%,73.80%,100.00%,12.60%,0.00%,No Data,0.00%,"$4,249",62.50%,"$17,898",46.10%,49.20%,15.70%,46.90%,1,54.60%,0.00002572,57.20%,13.90%,31.30%,40.00%,88.60%,21.40%,56.50%,No Data,0.00%,No Data,0.00%,0.00%,100.00%,0.00%,0.00%,69.20%,,2%,2%,2%,2%,4%,2%,2%,8%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
40,City Developments Ltd,Real Estate,#1/412,Singapore,"$1,686",30.80%,"$17,250",6.70%,$787,27.50%,"$117,763",23.10%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,15.40%,67.00%,73.60%,100.00%,80.30%,100.00%,47:1,16.30%,$192,0.00%,"$9,821",53.30%,82.40%,60.50%,3.50%,0.05,68.50%,-,100.00%,6.90%,95.50%,25.00%,52.90%,20.00%,47.40%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.20%,2.50%,69.20%,,2%,2%,6%,6%,2%,3%,2%,1%,0%,0%,2%,2%,1%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
41,Konica Minolta Inc,Technology Hardware,#2/83,Japan,"$1,879",1.00%,"$28,533",0.00%,"$3,083",1.80%,"$61,731,617",97.90%,"$50,594,470","$99,244,966",No Data,"$23,939,822,393",1.30%,21.90%,0.00%,87.50%,12.40%,33.70%,73.60%,100.00%,0.20%,50.00%,10:1,100.00%,"$2,653",35.70%,"$30,263",33.30%,79.90%,63.80%,26.80%,0.05,83.40%,-,100.00%,3.10%,85.80%,8.30%,3.60%,12.50%,18.70%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,68.50%,,1%,2%,2%,0%,2%,0%,5%,2%,1%,0%,0%,6%,5%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
42,Natura &Co Holding SA,Personal Products,#1/33,Brazil,"$2,567",12.50%,"$638,798",75.00%,"$20,777",77.30%,"$7,893,300",90.00%,No Data,"$1,218,074,753","$24,987,933,504","$661,556,485",0.00%,100.00%,75.00%,75.00%,10.60%,3.20%,46.90%,100.00%,0.40%,50.00%,170:1,0.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,0.00%,0.25,75.00%,-,100.00%,17.60%,0.00%,75.00%,99.90%,41.70%,94.60%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,67.90%,,2%,1%,2%,1%,3%,1%,2%,1%,1%,2%,0%,4%,5%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
43,Autodesk Inc,Software and Related Services,#1/142,USA,"$15,442",31.20%,"$994,926",40.90%,No Data,0.00%,"$1,060,330",5.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,52.80%,97.60%,93.20%,100.00%,3.10%,57.10%,77:1**,0.00%,"$2,098",37.50%,"$9,431",66.60%,92.90%,100.00%,44.80%,0.24,0.00%,Not an appliable KPI,Not an appliable KPI,13.10%,0.00%,50.00%,97.00%,27.30%,73.20%,10.00%,61.70%,0.00%,0.00%,100.00%,100.00%,4.50%,0.00%,67.80%,,1%,2%,1%,0%,2%,0%,4%,0%,1%,3%,0%,6%,4%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
44,National Australia Bank Ltd,Banks and Investment Services,#4/935,Australia,"$16,717",14.70%,"$113,586",4.40%,"$31,847",35.50%,"$6,656,183",29.30%,No Data,"$38,201,589",No Data,No Data,0.00%,11.50%,0.00%,0.00%,7.60%,26.50%,4.90%,93.20%,0.10%,84.80%,23:1,60.80%,No Data,0.00%,No Data,0.00%,No Data,0.00%,0.00%,0.12,75.00%,-,100.00%,15.80%,20.00%,40.00%,88.60%,36.40%,89.20%,10.00%,61.70%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,67.80%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
45,Transcontinental Inc,Packaging,#2/47,Canada,"$1,210",82.10%,$916,0.00%,"$2,119",61.40%,"$271,204",78.10%,"$3,203,364","$6,661,924","$3,181,901,568","$417,298,566",100.00%,50.00%,62.50%,50.00%,17.10%,93.10%,43.60%,75.00%,37.20%,33.30%,80:1,0.00%,"$1,792",26.60%,"$70,800",61.50%,91.20%,79.40%,30.20%,0.74,70.00%,-,100.00%,8.50%,100.00%,38.50%,88.30%,30.00%,77.30%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,56.10%,1.00%,67.60%,,2%,1%,3%,2%,0%,0%,0%,9%,4%,8%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
46,BNP Paribas SA,Banks and Investment Services,#5/935,France,"$17,099",16.80%,"$190,643",12.70%,"$15,025",9.40%,"$2,434,028",4.80%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,19.10%,64.60%,15.50%,98.60%,0.10%,75.70%,44:1,37.50%,"$6,279",63.10%,"$43,448",30.30%,62.60%,15.30%,47.30%,0.05,85.80%,0.00001509,16.70%,11.50%,44.20%,42.90%,93.80%,15.80%,35.10%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,9.50%,5.00%,67.60%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
47,Bank of Montreal,Banks and Investment Services,#6/935,Canada,"$28,506",40.80%,"$156,810",11.60%,"$29,327",36.00%,"$14,307,256",43.30%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,17.40%,60.70%,4.10%,91.80%,0.30%,86.30%,62:1,26.80%,"$4,712",49.30%,"$178,953",66.90%,98.60%,65.30%,45.00%,No Data,0.00%,-,100.00%,10.70%,55.20%,41.70%,91.90%,25.00%,62.50%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,67.50%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
48,Ball Corp,Packaging,#3/47,USA,$726,60.20%,"$9,231",62.50%,"$1,214",54.50%,"$414,269",78.10%,"$1,146,025","$36,658,147","$6,135,828,877","$488,463,176",25.00%,79.20%,79.20%,91.70%,7.70%,36.30%,64.00%,87.50%,64.00%,66.60%,126:1**,0.00%,"$2,623",80.00%,"$123,443",76.90%,36.50%,5.80%,60.00%,0.29,90.00%,-,100.00%,12.00%,62.50%,36.40%,84.20%,14.30%,33.00%,36.40%,93.70%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,67.50%,,2%,1%,3%,2%,0%,0%,0%,9%,4%,8%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
49,Allianz SE,Insurance,#2/236,Germany,"$102,360",38.40%,"$639,305",6.60%,"$90,405",25.30%,"$14,753,421",8.50%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,21.90%,65.80%,1.10%,90.40%,0.00%,20.00%,89:1,36.40%,"$22,891",96.20%,"$161,070",53.10%,49.60%,17.40%,72.20%,No Data,0.00%,No Data,0.00%,16.50%,20.80%,20.00%,37.90%,40.00%,91.40%,10.00%,61.70%,20.00%,85.70%,100.00%,100.00%,0.00%,0.00%,67.40%,,0%,0%,0%,0%,2%,2%,4%,1%,1%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
50,HP Inc,Technology Hardware,#3/83,USA,"$35,869",59.40%,"$272,271",33.60%,"$20,053",42.60%,"$9,238,365",46.90%,"$22,598,461,538",No Data,No Data,No Data,95.00%,0.00%,0.00%,0.00%,11.60%,27.20%,54.10%,86.60%,0.90%,83.30%,733:1,0.00%,"$1,446",28.50%,"$214,589",83.30%,91.10%,78.70%,36.90%,0.08,66.70%,-,100.00%,No Data,0.00%,41.70%,91.90%,33.30%,87.10%,41.70%,95.50%,33.30%,93.80%,0.00%,100.00%,64.10%,1.00%,67.20%,,1%,2%,2%,0%,2%,0%,5%,2%,1%,0%,0%,6%,5%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
51,Sekisui Chemical Co Ltd,Chemicals,#5/257,Japan,"$1,083",65.10%,"$13,114",55.70%,$536,60.40%,"$1,878,857",80.90%,"$10,043,747","$61,824,845","$1,854,745,351","$695,529,507",34.50%,73.30%,88.20%,37.50%,16.80%,74.60%,29.10%,77.70%,9.60%,81.80%,4:1,92.90%,"$33,682",100.00%,"$316,284",87.20%,71.80%,41.10%,82.10%,0.19,90.50%,-,100.00%,1.70%,95.00%,13.30%,21.80%,12.50%,18.70%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,5.30%,0.00%,67.00%,,4%,4%,9%,1%,0%,0%,0%,3%,2%,3%,1%,1%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
52,Comerica Inc,Banks and Investment Services,#7/935,USA,"$8,804",5.90%,"$78,577",0.00%,"$11,113",6.90%,"$2,537,210",8.70%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,18.20%,62.60%,1.80%,74.30%,0.70%,90.90%,49:1,34.00%,"$3,743",41.40%,"$385,956",75.80%,123.90%,90.40%,47.60%,0.14,71.50%,-,100.00%,17.20%,13.20%,27.30%,63.60%,41.70%,94.60%,18.20%,74.40%,16.70%,80.90%,100.00%,100.00%,0.00%,0.00%,66.50%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
53,Standard Bank Group Ltd,Banks and Investment Services,#8/935,South Africa,"$56,197",64.00%,"$133,984",5.50%,"$67,982",68.60%,"$33,091,695",57.40%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,30.80%,88.60%,1.40%,64.80%,0.30%,89.30%,1:1,92.90%,"$5,776",59.20%,"$117,010",53.50%,100.10%,69.60%,50.20%,No Data,0.00%,-,100.00%,10.80%,52.50%,41.20%,91.20%,46.70%,96.30%,11.80%,67.10%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,66.10%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
54,Telus Corp,Telecommunications,#2/155,Canada,"$3,069",32.40%,"$38,444",10.80%,"$16,589",31.40%,"$3,171,766",18.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,7.60%,54.60%,14.40%,90.00%,1.10%,57.10%,243:1,0.00%,"$2,171",23.40%,"$118,243",53.80%,95.60%,81.30%,26.30%,0.62,57.90%,-,100.00%,14.40%,42.90%,41.70%,91.90%,25.00%,62.50%,8.30%,54.40%,16.70%,80.90%,100.00%,100.00%,0.00%,0.00%,66.00%,,3%,4%,1%,0%,2%,3%,3%,4%,2%,1%,0%,5%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
55,Dassault Systèmes SE,Software and Related Services,#2/142,France,"$40,245",80.30%,"$255,630",16.10%,No Data,0.00%,"$29,370,617,103",100.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,20.90%,82.10%,84.40%,71.40%,6.10%,85.70%,31:1,100.00%,"$2,190",43.70%,"$2,998",33.30%,18.60%,7.60%,32.80%,0.11,33.40%,Not an appliable KPI,Not an appliable KPI,10.00%,60.00%,41.70%,91.90%,22.20%,60.40%,16.70%,71.00%,0.00%,0.00%,100.00%,100.00%,21.20%,0.00%,64.90%,,1%,2%,1%,0%,2%,0%,4%,0%,1%,3%,0%,6%,4%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
56,Intesa Sanpaolo SpA,Banks and Investment Services,#9/935,Italy,"$24,354",30.30%,"$334,170",19.80%,"$15,550",11.60%,"$83,655,581",68.50%,No Data,"$338,912,352","$881,172,115",No Data,0.00%,25.00%,11.90%,0.00%,27.60%,83.80%,2.80%,83.70%,0.80%,93.90%,70:1,23.30%,"$5,572",58.50%,"$28,172",17.80%,86.00%,37.20%,43.90%,No Data,0.00%,-,100.00%,8.40%,70.40%,36.80%,84.70%,5.60%,3.70%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,2.50%,64.80%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
57,Sims Metal Management Ltd,Construction Materials,#2/187,USA,"$2,026",75.40%,"$22,942",75.00%,"$7,253",75.00%,"$2,612",19.50%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,13.40%,73.20%,100.00%,91.60%,100.00%,66.60%,26:1,37.50%,"$2,079",38.40%,"$16,140",26.30%,103.00%,92.90%,33.60%,0.27,95.50%,-,100.00%,19.00%,16.70%,37.50%,84.80%,27.30%,73.20%,12.50%,67.70%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,64.50%,,3%,3%,2%,7%,0%,0%,0%,0%,2%,11%,2%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
58,Capitaland Ltd,Real Estate,#2/412,Singapore,"$1,387",32.20%,"$10,696",5.70%,$550,16.30%,"$60,481",15.50%,No Data,"$169,105,464",No Data,No Data,0.00%,23.60%,0.00%,0.00%,10.80%,61.20%,29.60%,85.70%,35.10%,95.20%,104:1,9.40%,"$5,797",80.30%,No Data,0.00%,No Data,0.00%,60.20%,0.3,47.40%,0.00021583,23.10%,15.20%,68.20%,9.10%,6.70%,25.00%,62.50%,18.20%,74.40%,8.30%,65.80%,100.00%,100.00%,0.20%,0.00%,64.10%,,2%,2%,6%,6%,2%,3%,2%,1%,0%,0%,2%,2%,1%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
59,Intel Corp,Electronic Products,#4/365,USA,"$4,876",49.00%,"$25,812",27.50%,"$1,509",28.20%,"$1,701,300",55.30%,"$203,290,960","$189,381,579",No Data,No Data,51.70%,25.40%,0.00%,0.00%,10.20%,45.10%,29.90%,66.60%,29.90%,93.70%,695:1**,0.00%,"$3,421",67.20%,"$23,953",52.60%,62.00%,41.80%,50.40%,0.68,39.50%,-,100.00%,5.00%,91.50%,30.00%,68.80%,28.60%,76.80%,30.00%,88.50%,28.60%,92.40%,100.00%,100.00%,0.00%,0.00%,64.10%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
60,Samsung SDI Co Ltd,Electronic Products,#5/365,South Korea,$551,4.00%,"$9,208",12.30%,"$1,590",35.40%,"$645,160",22.70%,No Data,"$484,575,502","$1,453,126,785","$581,538,604",0.00%,45.40%,27.80%,0.00%,21.80%,87.90%,76.40%,98.40%,53.60%,97.60%,31:1,56.70%,"$3,251",62.00%,"$24,409",55.20%,90.10%,76.80%,54.50%,0.16,76.40%,-,100.00%,18.10%,23.50%,14.30%,28.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,5.00%,64.00%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
61,Accenture PLC,IT Consulting & Services,#1/127,Ireland,"$32,296",56.30%,"$184,993",3.90%,"$16,373",19.90%,"$102,163,151",51.90%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,23.50%,83.60%,25.50%,88.80%,0.10%,40.00%,No Data,0.00%,"$1,289",45.00%,"$3,055",13.30%,48.10%,17.00%,33.80%,No Data,0.00%,No Data,0.00%,No Data,0.00%,41.70%,91.90%,31.30%,80.20%,41.70%,95.50%,12.50%,72.30%,100.00%,100.00%,0.00%,0.00%,63.70%,,1%,1%,1%,0%,1%,1%,7%,1%,0%,0%,0%,4%,6%,6%,43%,8%,3%,3%,3%,3%,3%,5%,3%
62,Vitasoy International Holdings Ltd,Packaged and Processed Food and Ingredients,#2/225,Hong Kong,$905,28.10%,"$8,765",9.40%,$259,11.40%,"$96,082",10.70%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,15.40%,59.00%,50.00%,91.60%,11.20%,100.00%,16:1,76.00%,$117,6.90%,"$2,008",9.60%,121.20%,93.20%,5.90%,0.69,75.90%,-,100.00%,24.10%,21.90%,18.20%,37.50%,75.00%,99.70%,36.40%,93.70%,25.00%,90.30%,100.00%,0.00%,0.30%,0.00%,63.50%,,3%,3%,10%,3%,2%,1%,2%,1%,1%,1%,1%,1%,1%,1%,43%,8%,3%,3%,3%,3%,3%,5%,3%
63,Essity AB,Forest Products,#3/67,Sweden,$346,82.70%,"$4,975",81.30%,"$1,756",96.00%,"$25,730",40.90%,No Data,"$9,381,027","$25,165,485","$115,210,735",0.00%,84.30%,78.40%,90.00%,13.60%,75.80%,51.30%,78.50%,34.50%,60.00%,64:1,30.00%,"$1,485",20.00%,"$90,447",50.00%,94.40%,75.50%,21.40%,0.7,83.40%,-,100.00%,14.10%,43.80%,44.40%,95.40%,25.00%,62.50%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,5.00%,63.40%,,1%,1%,11%,1%,0%,0%,0%,8%,3%,3%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
64,CNP Assurances SA,Insurance,#4/236,France,"$580,310",77.20%,"$14,022,654",74.10%,"$690,426",77.50%,No Data,0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,27.10%,77.20%,1.10%,85.70%,0.60%,40.00%,6:1,100.00%,"$6,172",47.10%,$82,0.00%,0.20%,0.00%,35.30%,0.24,44.50%,-,100.00%,9.00%,69.90%,43.80%,94.00%,25.00%,62.50%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,9.50%,1.00%,63.10%,,0%,0%,0%,0%,2%,2%,4%,1%,1%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
65,Sanofi SA,Pharmaceuticals and Biotechnology,#4/417,France,"$3,637",42.90%,"$56,791",31.50%,"$1,526",21.20%,"$791,960",42.70%,"$17,118,915","$119,483,827","$544,452,080",No Data,5.60%,33.80%,26.60%,0.00%,19.90%,74.60%,28.00%,84.20%,28.00%,94.10%,33:1,50.00%,"$1,281",16.30%,"$140,511",68.40%,72.40%,35.80%,13.30%,1.5,19.40%,0.00001992,23.60%,16.40%,16.70%,50.00%,97.00%,27.30%,73.20%,7.10%,52.00%,0.00%,0.00%,100.00%,100.00%,20.60%,2.50%,62.90%,,2%,2%,5%,2%,2%,1%,3%,2%,1%,1%,0%,4%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
66,Valeo SA,Vehicles and Parts,#1/257,France,"$3,169",50.80%,"$26,391",8.80%,"$7,700",49.10%,"$369,991",15.20%,"$14,946,469","$195,020,707",No Data,No Data,43.40%,71.70%,0.00%,0.00%,11.20%,29.10%,47.20%,91.80%,47.00%,85.70%,97:1,40.00%,"$1,504",37.00%,"$8,820",26.00%,35.80%,8.60%,27.80%,1.9,32.20%,No Data,0.00%,22.80%,17.50%,38.50%,88.30%,25.00%,62.50%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,5.00%,62.20%,,2%,3%,2%,2%,1%,1%,2%,11%,1%,0%,0%,1%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
67,Commerzbank AG,Banks and Investment Services,#10/935,Germany,"$16,945",15.10%,"$273,490",17.10%,"$22,996",19.30%,"$32,528,483",70.60%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,18.50%,63.30%,3.00%,85.10%,0.10%,75.70%,24:1,59.00%,"$9,833",80.20%,"$412,557",77.60%,94.90%,55.70%,68.50%,No Data,0.00%,-,100.00%,5.00%,86.90%,40.00%,88.60%,33.30%,87.10%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,5.00%,61.70%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
68,Cogeco Communications Inc,Telecommunications,#3/155,Canada,"$2,782",22.50%,"$60,378",16.80%,No Data,0.00%,No Data,0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,8.30%,58.10%,8.60%,80.00%,2.70%,85.70%,46:1,55.00%,$348,2.10%,"$8,426",3.80%,82.60%,61.00%,1.60%,0.59,63.20%,-,100.00%,17.00%,22.50%,50.00%,97.00%,22.20%,60.40%,0.00%,0.00%,22.20%,89.50%,100.00%,100.00%,75.80%,2.50%,61.70%,,3%,4%,1%,0%,2%,3%,3%,4%,2%,1%,0%,5%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
69,Sun Life Financial Inc,Insurance,#5/236,Canada,"$102,844",41.80%,"$2,404,372",43.80%,No Data,0.00%,No Data,0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,11.80%,40.20%,1.00%,76.10%,0.60%,40.00%,54:1,54.60%,"$8,923",69.80%,"$132,588",38.20%,94.50%,70.60%,54.60%,No Data,0.00%,No Data,0.00%,9.80%,64.20%,36.40%,84.20%,33.30%,87.10%,9.10%,58.00%,0.00%,0.00%,100.00%,100.00%,9.50%,0.00%,61.30%,,0%,0%,0%,0%,2%,2%,4%,1%,1%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
70,Xerox Holdings Corp,Technology Hardware,#4/83,USA,"$4,854",7.80%,"$71,206",15.90%,"$8,160,216",75.00%,"$4,771,579",20.80%,"$1,304,460,432","$326,467,411","$41,209,090,909","$3,192,253,521",56.30%,46.90%,75.00%,18.80%,6.70%,10.30%,71.20%,93.30%,0.20%,66.60%,544:1**,0.00%,"$5,696",71.40%,"$320,043",100.00%,84.80%,72.30%,71.60%,0.39,16.70%,-,100.00%,24.00%,0.00%,14.30%,28.20%,46.70%,96.30%,0.00%,0.00%,13.30%,75.80%,100.00%,0.00%,0.00%,0.00%,61.10%,,1%,2%,2%,0%,2%,0%,5%,2%,1%,0%,0%,6%,5%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
71,Takeda Pharmaceutical Co Ltd,Pharmaceuticals and Biotechnology,#5/417,Japan,"$6,479",73.30%,"$95,247",59.30%,"$2,917",56.10%,"$1,508,637",54.80%,"$249,400,884","$311,751,105","$5,403,685,814",No Data,59.30%,64.10%,69.10%,0.00%,16.80%,63.60%,10.50%,73.60%,10.50%,76.40%,131:1,20.60%,"$8,590",77.50%,"$86,523",44.70%,143.30%,98.70%,69.00%,0.23,74.20%,-,100.00%,No Data,0.00%,6.30%,0.80%,50.00%,96.30%,50.00%,99.20%,66.70%,99.40%,0.00%,0.00%,0.00%,0.00%,60.70%,,2%,2%,5%,2%,2%,1%,3%,2%,1%,1%,0%,4%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
